,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 26 01 00,33,4,2228,3,6431,2,13921,3,14340,4,2336,5,8314,3,14454,30,16153,1,0,1,1,3
2020 01 26 02 00,33,4,2051,3,6018,2,14076,3,14854,4,2051,5,7904,3,14854,30,16082,1,0,1,1,3
2020 01 26 03 00,33,4,4513,3,6658,2,17372,30,18093,4,5566,5,11026,30,18093,3,20765,1,0,1,0,2
2020 01 26 04 00,32,4,9363,3,10827,1,19585,30,19602,4,11998,3,16880,30,19602,2,25325,1,0,1,0,2
2020 01 26 05 00,4,3,12744,4,16452,0,17457,7,17569,3,19584,4,22294,7,20945,20,22438,1,1,1,0,3
2020 01 26 06 00,4,3,8687,4,12959,0,14751,7,16280,3,14105,4,17269,7,18270,30,22202,1,1,1,0,3
2020 01 26 07 00,4,3,8040,6,13910,0,9799,7,10265,3,12882,6,14300,7,10655,0,16315,1,1,1,0,3
2020 01 26 08 00,40,6,8982,3,10394,7,6354,0,8438,6,9312,3,16039,7,6684,9,14771,1,1,1,1,4
2020 01 26 09 00,40,6,10310,3,13083,7,11126,0,15386,6,11062,3,20531,7,12426,9,17200,1,1,1,1,4
2020 01 26 10 00,40,6,10682,3,13113,7,11475,0,16203,6,10914,3,20903,7,11734,9,18647,1,1,1,1,4
2020 01 26 11 00,40,6,12637,3,12804,7,11808,0,15715,6,12637,3,20284,7,11808,9,19008,1,1,1,1,4
2020 01 26 12 00,31,4,6097,3,7529,1,10322,30,10379,4,8403,3,13896,30,10379,1,13734,1,1,1,0,3
2020 01 26 13 00,4,3,3860,4,6443,0,8787,7,14115,3,6501,4,6895,0,13843,7,14115,1,1,1,1,4
2020 01 26 14 00,4,3,2599,4,8045,0,1759,7,9143,3,3132,4,8067,0,2814,7,9143,1,1,1,1,4
2020 01 26 15 00,4,3,3106,4,8863,0,63,7,7896,3,3125,4,8863,0,101,7,7896,1,1,1,1,4
2020 01 26 16 00,4,3,42,4,7863,0,0,7,7849,3,42,4,7863,0,0,7,7849,1,1,1,1,4
2020 01 26 17 00,4,3,0,4,7849,0,0,7,7849,3,0,4,7849,0,0,7,7849,1,1,1,1,4
2020 01 26 18 00,4,3,0,4,7849,0,0,7,7849,3,0,4,7849,0,0,7,7849,1,1,1,1,4
2020 01 26 19 00,4,3,164,4,8095,0,82,7,7767,3,246,4,8259,0,164,7,7767,1,1,1,1,4
2020 01 26 20 00,4,3,1666,4,10348,0,833,7,7016,3,2499,4,12014,0,1666,7,7016,1,1,1,1,4
2020 01 26 21 00,4,3,5380,6,10348,0,2707,7,5186,3,8070,6,10358,7,5200,0,5397,1,1,1,0,3
2020 01 26 22 00,40,6,4428,3,11483,7,2614,0,6177,6,4498,7,15876,7,2977,9,11139,1,1,1,1,4
