,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 03 06 01 00,0,1,8530,2,14536,0,296,7,7130,1,11600,2,15889,0,480,7,7130,1,1,1,1,4
2020 03 06 02 00,0,1,12996,2,16589,0,1228,7,6604,1,17994,2,19290,0,2157,7,6763,1,1,1,1,4
2020 03 06 03 00,0,2,18781,4,20835,0,1749,7,5991,2,23514,4,23587,0,3232,7,6152,0,1,0,1,2
2020 03 06 04 00,4,3,13565,4,16177,0,2086,7,6132,3,15174,4,19077,0,3761,7,6291,1,1,1,1,4
2020 03 06 05 00,4,3,5302,4,11452,0,1880,7,6533,3,6637,4,13684,0,3318,7,6591,1,1,1,1,4
2020 03 06 06 00,4,3,4879,4,11329,0,1798,7,6408,3,6202,4,13633,0,3215,7,6484,1,1,1,1,4
2020 03 06 07 00,4,3,6314,4,12557,0,2154,7,6338,3,7937,4,15311,0,3802,7,6537,1,1,1,1,4
2020 03 06 08 00,4,3,4905,6,11426,0,2931,7,5906,3,6942,6,11697,0,5160,7,6470,1,1,1,1,4
2020 03 06 09 00,4,3,5936,6,9076,0,3580,7,4891,3,8867,6,9310,7,5243,0,6652,1,1,1,0,3
2020 03 06 10 00,4,3,4381,6,10638,0,2571,7,5538,3,6451,6,10792,0,4724,7,5848,1,1,1,1,4
2020 03 06 11 00,4,3,4768,6,10231,0,3125,7,5636,3,7157,6,10564,0,5590,7,6163,1,1,1,1,4
2020 03 06 12 00,4,3,5963,6,8995,0,4196,7,5449,3,8930,6,9324,7,6288,0,7372,1,1,1,0,3
2020 03 06 13 00,4,3,6368,6,10891,0,3253,7,5389,3,8870,6,11091,0,5854,7,5909,1,1,1,1,4
2020 03 06 14 00,4,3,10640,6,15559,0,3494,7,5979,3,12972,6,15859,0,6053,7,6745,1,1,1,1,4
2020 03 06 15 00,4,3,12121,6,16720,0,3110,7,5670,3,14401,6,16920,0,5496,7,6251,1,1,1,1,4
2020 03 06 16 00,4,3,10157,4,15077,0,2350,7,6245,3,11974,6,18148,0,4098,7,6700,1,1,1,1,4
2020 03 06 17 00,4,3,12054,4,17211,0,3410,7,6080,3,14593,6,17998,0,5864,7,6804,1,1,1,1,4
2020 03 06 18 00,40,3,20129,2,21202,0,3614,7,5940,3,22791,12,24002,0,6261,7,6665,0,0,0,0,0
2020 03 06 19 00,4,3,17086,4,19310,0,2941,7,6148,3,19030,6,22512,0,5055,7,6825,1,1,1,1,4
2020 03 06 20 00,4,3,10173,4,14951,0,2673,7,6746,3,11695,4,17841,0,4452,7,7381,1,1,1,1,4
2020 03 06 21 00,4,3,7343,4,13845,0,2799,7,6730,3,8931,6,15779,0,4621,7,7511,1,1,1,1,4
2020 03 06 22 00,4,3,10170,4,15013,0,2714,7,6641,3,11816,4,18049,0,4546,7,7238,1,1,1,1,4
2020 03 06 23 00,4,3,12426,4,14937,0,1855,7,6869,3,13517,4,16845,0,3117,7,7128,1,1,1,1,4
2020 03 07 00 00,4,3,13678,4,15600,0,2085,7,6948,3,14888,4,17616,0,3485,7,7146,1,1,1,1,4
2020 03 07 01 00,4,3,11955,4,13944,0,1769,7,7200,3,12924,4,15352,0,2904,7,7276,1,1,1,1,4
2020 03 07 02 00,4,3,12779,4,14649,0,2055,7,7132,3,13957,4,16431,0,3392,7,7345,1,1,1,1,4
2020 03 07 03 00,4,4,16474,5,17132,0,1757,7,7364,4,17704,5,18362,0,2854,7,7519,0,1,0,1,2
2020 03 07 04 00,0,1,13564,2,15855,0,1923,7,7404,2,18532,1,18850,0,3084,7,7589,1,1,0,1,3
2020 03 07 05 00,0,1,11252,2,16345,0,2018,7,7192,1,15766,2,18843,0,3295,7,7419,1,1,1,1,4
2020 03 07 06 00,0,1,9981,2,16252,0,1924,7,7318,1,13892,2,18483,0,3065,7,7702,1,1,1,1,4
2020 03 07 07 00,0,1,9741,2,15733,0,2042,7,7637,1,13565,2,17815,0,3201,7,7926,1,1,1,1,4
2020 03 07 08 00,0,1,9728,2,15960,0,2235,7,7486,1,13572,2,18157,0,3553,7,7957,1,1,1,1,4
2020 03 07 09 00,0,1,9673,2,15644,0,1550,7,7275,1,13473,2,17650,0,2481,7,7542,1,1,1,1,4
2020 03 07 10 00,0,1,7273,2,15266,0,1366,7,7158,1,10195,2,16851,0,2206,7,7430,1,1,1,1,4
2020 03 07 11 00,0,1,6919,2,14835,0,1205,7,7010,1,9804,2,16301,0,1970,7,7226,1,1,1,1,4
2020 03 07 12 00,0,1,7216,2,14521,0,1207,7,7294,1,10142,2,15920,0,1958,7,7397,1,1,1,1,4
2020 03 07 13 00,0,1,6269,2,14126,0,592,7,7125,1,8696,2,15188,0,980,7,7187,1,1,1,1,4
2020 03 07 14 00,0,1,7042,2,14578,0,443,7,6813,1,9736,2,15851,0,791,7,6863,1,1,1,1,4
2020 03 07 15 00,0,1,8050,2,14284,0,92,7,6926,1,10975,2,15522,0,184,7,6926,1,1,1,1,4
2020 03 07 16 00,0,2,10671,1,11814,0,0,7,7018,2,11878,1,16514,0,0,7,7018,0,1,0,1,2
2020 03 07 17 00,6,2,8946,1,14344,0,0,7,7018,2,10268,4,17694,0,0,7,7018,1,1,1,1,4
2020 03 07 18 00,6,2,7848,4,15979,0,104,7,7073,2,9343,4,16009,0,163,7,7073,1,1,1,1,4
2020 03 07 19 00,6,2,7931,1,15806,0,512,7,7150,2,9443,4,16955,0,854,7,7150,1,1,1,1,4
2020 03 07 20 00,6,2,9489,1,14767,0,725,7,7160,2,11136,4,18624,0,1196,7,7160,1,1,1,1,4
2020 03 07 21 00,6,2,8526,4,14809,0,1201,7,7800,2,10593,4,15015,0,1784,7,7800,1,1,1,1,4
2020 03 07 22 00,4,2,11950,4,14688,0,1581,7,8127,4,14876,2,14892,0,2315,7,8127,0,1,0,1,2
2020 03 07 23 00,6,2,10730,4,16570,0,1283,7,7678,2,13039,4,16986,0,1957,7,7678,1,1,1,1,4
2020 03 08 00 00,6,2,10647,4,16005,0,1392,7,7807,2,13054,4,16385,0,2083,7,7810,1,1,1,1,4
