,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 03 06 01 00,4,6,18191,3,20105,13,16988,9,16997,14,24111,16,24153,19,17856,21,17861,0,0,0,0,0
2020 03 06 02 00,51,6,14886,8,19647,27,10285,10,10297,14,21675,6,22243,27,10285,19,10456,1,0,0,0,1
2020 03 06 03 00,40,6,4912,3,18778,9,7438,13,7548,6,7368,8,21725,13,8709,9,8733,1,0,1,0,2
2020 03 06 04 00,40,6,4986,3,18733,9,7779,13,7888,6,7395,8,21520,13,9050,9,9094,1,0,1,0,2
2020 03 06 05 00,40,6,13142,3,17672,7,10178,9,13401,6,17490,12,23286,7,15107,20,15263,1,1,1,1,4
2020 03 06 06 00,40,3,17743,6,18894,7,9400,0,9762,6,21797,3,23553,7,12590,0,15572,0,1,1,1,3
2020 03 06 07 00,40,3,17395,6,17931,7,7663,0,7933,6,20009,3,22633,7,9829,0,13173,0,1,1,1,3
2020 03 06 08 00,40,3,16465,6,18541,0,6827,7,7484,6,20315,3,21084,7,9258,0,11446,0,0,1,1,2
2020 03 06 09 00,0,2,23358,12,23467,0,8262,7,9589,12,23467,13,26871,7,12373,0,13058,0,1,0,0,1
2020 03 06 10 00,40,6,17797,3,19699,7,12476,9,15347,12,20016,6,23657,20,16325,9,18277,1,1,0,0,2
2020 03 06 11 00,40,6,19751,3,20358,7,8225,0,9563,6,22517,12,23271,7,10991,0,15683,1,1,1,1,4
2020 03 06 12 00,4,3,8936,6,15812,0,5839,7,8430,3,12582,6,17574,0,9485,7,10192,1,1,1,1,4
2020 03 06 13 00,3,3,7037,4,14275,0,1712,7,6571,3,8682,6,16810,0,3357,7,6625,1,1,1,1,4
2020 03 06 14 00,3,3,10459,4,13751,0,838,7,7262,3,11295,4,15421,0,1674,7,7264,1,1,1,1,4
2020 03 06 15 00,2,2,14358,4,14591,0,85,7,8009,4,14761,5,14846,0,170,7,8009,1,1,0,1,3
2020 03 06 16 00,4,4,16231,5,16305,0,164,7,8111,4,16379,5,16453,0,264,7,8163,0,1,0,1,2
2020 03 06 17 00,4,2,18133,4,18398,0,437,7,7698,4,19232,5,19649,0,860,7,7710,0,1,0,1,2
2020 03 06 18 00,0,1,19786,2,19972,0,1415,7,6994,2,24058,12,26240,0,2718,7,7084,1,1,0,1,3
2020 03 06 19 00,0,1,17518,2,19955,0,1357,7,7121,2,23662,1,24264,0,2578,7,7231,1,1,0,1,3
2020 03 06 20 00,0,2,18487,1,18829,0,87,7,8007,2,21555,4,23012,0,174,7,8007,0,1,0,1,2
2020 03 06 21 00,4,4,16733,5,16793,0,60,7,8034,4,16853,5,16913,0,120,7,8034,0,1,0,1,2
2020 03 06 22 00,0,2,20353,1,22147,0,1003,7,7091,2,24685,4,26234,0,2006,7,7091,0,1,0,1,2
2020 03 06 23 00,0,2,18466,1,20659,0,1540,7,6757,2,22565,12,25254,0,3008,7,6815,0,1,0,1,2
2020 03 07 00 00,0,2,16177,1,17328,0,99,7,8022,2,18700,4,22875,0,189,7,8030,0,1,0,1,2
2020 03 07 01 00,0,2,17530,4,19422,0,0,7,8094,4,19422,5,19422,0,0,7,8094,0,1,0,1,2
2020 03 07 02 00,4,3,13447,4,15930,0,749,7,7345,3,14196,4,17428,0,1498,7,7345,1,1,1,1,4
2020 03 07 03 00,4,3,7764,6,9995,0,4047,7,5027,6,10275,3,11463,7,5307,0,7746,1,1,0,0,2
2020 03 07 04 00,40,6,3124,3,15296,7,2139,0,8599,6,3852,7,18056,7,2867,9,11213,1,1,1,1,4
2020 03 07 05 00,40,6,5866,3,14933,7,4350,0,9878,6,7116,7,20174,7,5626,9,12844,1,1,1,1,4
2020 03 07 06 00,40,3,8965,6,13133,0,9135,7,9173,6,13595,3,13992,7,9635,0,15503,0,0,1,1,2
2020 03 07 07 00,4,3,4511,4,7707,0,11091,7,15186,3,8107,4,9291,7,15186,0,17491,1,1,1,0,3
2020 03 07 08 00,4,3,3966,4,6748,0,11320,7,15850,3,7408,4,7796,7,15850,0,17680,1,1,1,0,3
2020 03 07 09 00,4,3,5020,4,9519,0,10453,7,13858,3,8751,4,12097,7,13858,0,16626,1,1,1,0,3
2020 03 07 10 00,4,3,3028,4,9756,0,5106,7,10334,3,5118,4,11632,0,8348,7,10334,1,1,1,1,4
2020 03 07 11 00,4,3,1043,4,8926,0,1413,7,8506,3,1711,4,9676,0,2374,7,8506,1,1,1,1,4
2020 03 07 12 00,4,3,158,4,8296,0,118,7,8057,3,244,4,8440,0,218,7,8057,1,1,1,1,4
2020 03 07 13 00,4,3,0,4,8094,0,0,7,8094,3,0,4,8094,0,0,7,8094,1,1,1,1,4
2020 03 07 14 00,4,3,0,4,8094,0,0,7,8094,3,0,4,8094,0,0,7,8094,1,1,1,1,4
2020 03 07 15 00,4,3,0,4,8094,0,0,7,8094,3,0,4,8094,0,0,7,8094,1,1,1,1,4
2020 03 07 16 00,4,3,255,4,8179,0,0,7,8094,3,255,4,8179,0,0,7,8094,1,1,1,1,4
2020 03 07 17 00,4,3,0,4,8094,0,0,7,8094,3,0,4,8094,0,0,7,8094,1,1,1,1,4
