,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 26 01 00,4,3,6292,4,7368,0,7417,7,13189,4,7424,3,7897,0,10578,7,13238,1,1,0,1,3
2020 01 26 02 00,4,3,4651,4,6631,0,8122,7,13629,3,6515,4,6771,0,11750,7,13706,1,1,1,1,4
2020 01 26 03 00,4,3,4936,4,7539,0,12227,7,15986,3,8068,4,8905,7,16252,0,17685,1,1,1,0,3
2020 01 26 04 00,4,3,6625,4,10168,0,16375,7,17628,3,11312,4,13677,7,18444,30,20083,1,1,1,0,3
2020 01 26 05 00,40,3,9633,4,14375,7,17197,0,18262,3,15775,6,16492,7,18573,30,20810,0,1,0,1,2
2020 01 26 06 00,40,3,10821,6,13123,7,15368,0,17475,6,13898,3,17341,7,17370,13,18972,0,1,1,1,3
2020 01 26 07 00,40,6,11475,3,12060,7,14269,9,16361,6,12614,3,18923,13,16569,7,17333,1,1,1,0,3
2020 01 26 08 00,40,6,10062,3,10606,7,11466,0,13960,6,10722,3,16590,7,13592,13,15089,1,1,1,1,4
2020 01 26 09 00,40,6,9050,3,9681,7,8548,0,10733,6,9185,3,15161,7,9078,9,15003,1,1,1,1,4
2020 01 26 10 00,40,3,9218,6,9246,7,8248,0,10072,6,9276,3,14485,7,8583,9,15002,0,1,1,1,3
2020 01 26 11 00,40,6,6968,3,11301,7,6404,0,10191,6,7121,3,17502,7,6775,9,13427,1,1,1,1,4
2020 01 26 12 00,40,6,7004,3,11304,7,6115,0,9814,6,7279,3,17460,7,6562,9,13267,1,1,1,1,4
2020 01 26 13 00,40,3,9844,6,11563,7,7428,0,8119,6,11722,3,14489,7,7699,0,13858,0,1,1,1,3
2020 01 26 14 00,2,3,13526,4,13699,0,4377,7,8969,3,15345,4,15537,0,7096,7,8969,0,1,0,1,2
2020 01 26 15 00,2,2,12979,1,17184,0,2432,7,8881,2,15561,4,17827,0,3806,7,8881,1,1,1,1,4
2020 01 26 16 00,0,1,8952,2,13376,0,1915,7,8687,1,12588,2,14723,0,2929,7,8687,1,1,1,1,4
2020 01 26 17 00,0,1,8180,2,13898,0,2865,7,9416,1,11612,2,15319,0,4391,7,9416,1,1,1,1,4
2020 01 26 18 00,0,1,6018,2,14369,0,5338,7,11496,1,8854,2,15731,0,7716,7,11496,1,1,1,1,4
2020 01 26 19 00,0,1,6458,2,14406,0,8266,7,14027,1,9687,2,16017,0,11488,7,14027,1,1,1,1,4
2020 01 26 20 00,33,2,10416,1,12738,0,11511,7,16796,2,12574,4,16204,0,15759,7,16796,0,0,0,0,0
2020 01 26 21 00,33,4,9417,2,10537,0,15013,7,19715,4,9417,5,12185,7,19715,0,20549,1,0,1,0,2
2020 01 26 22 00,33,4,4380,3,5158,0,18479,1,19712,4,4380,5,7801,30,19719,3,21824,1,0,1,0,2
2020 01 26 23 00,33,4,6650,2,8562,1,19410,30,19412,4,6650,5,10337,30,19412,3,20344,1,0,1,0,2
2020 01 27 00 00,33,4,7766,2,9990,2,18824,30,19132,4,7766,5,11659,30,19132,3,19238,1,0,1,0,2
2020 01 27 01 00,33,4,8137,2,10369,3,18182,2,18213,4,8137,5,12211,3,18182,30,18972,1,1,1,1,4
2020 01 27 02 00,33,4,5239,5,9359,3,17791,2,18170,4,5239,5,9359,3,17791,30,19053,1,1,1,1,4
2020 01 27 03 00,33,4,5392,5,9508,3,17669,2,18216,4,5392,5,9508,3,17669,30,19201,1,1,1,1,4
2020 01 27 04 00,33,4,5733,2,9481,3,17508,2,18099,4,5733,5,9878,3,17508,30,19167,1,1,1,1,4
2020 01 27 05 00,33,4,5752,5,9912,3,17525,2,18020,4,5752,5,9912,3,17525,30,19050,1,1,1,1,4
2020 01 27 06 00,33,4,6059,2,8759,3,17977,2,18284,4,6059,5,10140,3,17977,30,19129,1,1,1,1,4
2020 01 27 07 00,33,4,6113,2,8821,3,18285,2,18473,4,6113,5,10138,3,18285,30,19197,1,1,1,1,4
2020 01 27 08 00,33,4,6212,2,8896,2,18608,3,19018,4,6212,5,10144,3,19018,30,19090,1,0,1,1,3
2020 01 27 09 00,6,4,7081,2,8253,0,18071,1,19170,4,7081,5,10522,30,19177,7,22174,0,1,0,0,1
2020 01 27 10 00,6,2,6488,4,8524,0,13818,7,18518,4,8524,2,9584,7,18518,30,19233,1,1,0,0,2
2020 01 27 11 00,6,2,4733,4,10393,0,7784,7,13381,2,6923,4,10393,0,11458,7,13381,1,1,1,1,4
