,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 03 06 01 00,40,3,18415,6,18918,7,13711,9,16720,6,24221,7,26095,7,19195,13,19492,0,1,1,1,3
2020 03 06 02 00,4,3,15337,6,19520,7,12945,0,14009,3,22097,6,23189,7,16796,13,19767,1,0,1,0,2
2020 03 06 03 00,4,3,12302,6,21254,0,10385,7,12120,3,17031,7,22564,7,15039,0,15763,1,1,1,0,3
2020 03 06 04 00,4,3,15848,5,22861,0,10252,7,13218,3,20224,5,28559,0,15307,7,15875,1,1,1,1,4
2020 03 06 05 00,4,3,18993,5,23262,0,9739,7,13641,3,22967,5,28000,0,14424,7,16185,1,1,1,1,4
2020 03 06 06 00,0,2,19808,5,25919,0,8272,7,13771,2,25045,5,28895,0,11993,7,15523,0,1,0,1,2
2020 03 06 07 00,0,1,17505,2,18614,0,7790,7,14332,2,22086,1,24702,0,11174,7,15648,1,1,0,1,3
2020 03 06 08 00,0,1,12245,2,17972,0,5653,7,13360,1,17220,2,20240,0,8094,7,14075,1,1,1,1,4
2020 03 06 09 00,0,1,17566,2,18118,0,2829,7,11507,2,20836,1,24217,0,4029,7,11563,1,1,0,1,3
2020 03 06 10 00,0,1,18916,2,19647,0,933,7,9994,2,22603,1,25623,0,1343,7,9994,1,1,0,1,3
2020 03 06 11 00,0,2,18861,4,23299,0,737,7,9830,2,22382,4,23311,0,1061,7,9842,0,1,0,1,2
2020 03 06 12 00,0,2,19455,4,23451,0,605,7,9725,2,23082,4,23457,0,877,7,9731,0,1,0,1,2
2020 03 06 13 00,4,4,21615,2,21769,0,638,7,9521,4,21873,5,22112,0,1002,7,9527,0,1,0,1,2
2020 03 06 14 00,4,3,19148,4,19547,0,1038,7,8982,3,19857,4,20757,0,1849,7,8986,1,1,1,1,4
2020 03 06 15 00,4,3,15665,4,17104,0,762,7,9468,3,16021,4,17550,0,1222,7,9526,1,1,1,1,4
2020 03 06 16 00,4,4,19935,5,20095,0,643,7,9600,4,20123,5,20283,0,984,7,9646,0,1,0,1,2
2020 03 06 17 00,4,2,19510,4,21400,0,761,7,9849,4,21404,5,21572,0,1105,7,9853,0,1,0,1,2
2020 03 06 18 00,0,2,18297,4,22667,0,1489,7,9860,2,22226,4,23307,0,2335,7,9864,0,1,0,1,2
2020 03 06 19 00,4,4,18055,5,18772,0,2687,7,11076,4,18433,5,19150,0,3952,7,11084,0,1,0,1,2
2020 03 06 20 00,4,3,18862,4,18870,0,5384,7,11935,3,20768,4,20790,0,8158,7,12101,1,1,1,1,4
2020 03 06 21 00,4,3,17669,4,20261,0,7683,7,12234,3,20831,4,24055,0,11856,7,12779,1,1,1,1,4
2020 03 06 22 00,4,3,18276,4,20807,0,8904,7,13588,3,21570,4,24463,0,13229,7,14757,1,1,1,1,4
2020 03 06 23 00,4,3,13428,4,19526,0,9047,7,13121,3,16895,4,23828,0,13506,7,14447,1,1,1,1,4
2020 03 07 00 00,4,3,12906,4,20673,0,10338,7,13079,3,17121,6,24837,7,14672,0,15651,1,1,1,0,3
2020 03 07 01 00,4,3,14010,6,22010,0,10812,7,12178,3,18860,6,23959,7,14167,0,16591,1,1,1,0,3
2020 03 07 02 00,40,3,14889,6,20394,7,13330,0,13873,3,21015,6,22545,7,15626,13,20238,0,1,0,1,2
2020 03 07 03 00,40,3,15607,6,18926,7,13889,0,15698,6,20747,3,22425,7,15889,13,20951,0,1,1,1,3
2020 03 07 04 00,40,3,15094,6,20170,7,14565,0,15526,3,21552,6,21899,7,16536,13,21563,0,1,0,1,2
2020 03 07 05 00,40,3,14209,6,21367,7,15592,0,15648,3,20274,6,22865,7,17318,13,22610,0,1,0,1,2
2020 03 07 06 00,40,3,15153,4,22353,0,15976,7,16128,3,21365,6,24700,7,18031,13,23457,0,0,0,1,1
2020 03 07 07 00,4,3,13481,4,17815,0,16516,7,18569,3,18856,4,22809,7,19775,0,24438,1,1,1,0,3
2020 03 07 08 00,4,3,13175,4,14594,0,15799,7,19785,4,17396,3,17494,7,20451,0,23010,1,1,0,0,2
2020 03 07 09 00,3,4,16515,3,18571,0,12880,7,18257,4,18301,5,20941,0,18765,7,18846,0,1,0,1,2
2020 03 07 10 00,3,4,17357,5,18941,0,9072,7,15950,4,18245,5,19829,0,13151,7,16498,0,1,0,1,2
2020 03 07 11 00,3,4,18907,5,19913,0,5725,7,13027,4,20053,5,21059,0,8312,7,13473,0,1,0,1,2
2020 03 07 12 00,2,2,19843,4,22228,0,5576,7,12045,4,24462,2,25362,0,8280,7,12851,1,1,0,1,3
2020 03 07 13 00,2,2,17995,4,23613,0,5258,7,12082,2,22516,4,25533,0,7735,7,12871,1,1,1,1,4
2020 03 07 14 00,0,2,18172,1,20329,0,4574,7,11796,2,21697,1,28374,0,6714,7,12568,0,1,0,1,2
2020 03 07 15 00,0,2,20148,1,20228,0,4165,7,11186,2,24005,1,28195,0,6295,7,11611,0,1,0,1,2
2020 03 07 16 00,0,1,20040,2,20596,0,4020,7,11109,2,24475,1,27884,0,6099,7,11457,1,1,0,1,3
2020 03 07 17 00,0,1,20776,2,20974,0,5378,7,11994,2,25153,1,28844,0,7983,7,12898,1,1,0,1,3
2020 03 07 18 00,0,2,18782,1,23748,0,6063,7,12782,2,23083,4,26798,0,8869,7,13487,0,1,0,1,2
2020 03 07 19 00,0,1,16852,2,16903,0,6251,7,13734,2,19778,1,23974,0,8941,7,14049,1,1,0,1,3
2020 03 07 20 00,0,2,15053,1,16267,0,6409,7,14419,2,17454,1,23275,0,9021,7,14545,0,1,0,1,2
2020 03 07 21 00,0,1,8032,2,16269,0,4515,7,12913,1,11759,2,17506,0,6411,7,12913,1,1,1,1,4
2020 03 07 22 00,0,1,7552,2,16055,0,3598,7,12156,1,11037,2,17117,0,5140,7,12156,1,1,1,1,4
2020 03 07 23 00,0,1,6498,2,15981,0,3570,7,12141,1,9608,2,16875,0,5080,7,12141,1,1,1,1,4
2020 03 08 00 00,0,1,4578,2,17177,0,3035,7,11694,1,6776,2,17926,0,4351,7,11694,1,1,1,1,4
