,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3408+3482,18.0,0.25956812160336107,8,18,17,27
1,3407+3483,14.0,0.20470051580533566,6,18,14,27
2,3402+3405,8.0,0.43072672740512297,6,9,6,13
3,3401,4.0,0.4378721356829254,4,1,4,30
4,3403+3404+3406+3481,2.0,0.5721491849983518,3,0,3,0
