,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3802,15.0,0.0071059319235034606,7,13,7,21
1,3801,14.0,0.4045142800985923,13,18,13,21
2,3806,10.0,0.2680342299779526,7,13,7,13
3,3804+3805+3807,8.0,0.2832854089627434,3,0,6,7
4,3803,4.0,0.2056432176055416,3,0,3,0
5,3808,2.0,0.10678061517003717,3,0,3,0
