,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2906+2907,18.0,0.3239594172736733,17,18,17,27
1,2903+2904+2905+2908+2983,14.0,0.23518603540358837,6,18,12,21
2,2982,9.0,0.011392408183798367,6,7,6,20
3,2902,8.0,0.011082291181709801,3,7,6,7
4,2901+2981,2.0,0.6145047903109216,3,0,3,0
