Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401,14.0,0.1111090695956697,3,7,3,7
1,3402,8.0,0.07928506948761331,2,0,2,0
2,3403,2.0,0.20395203581387672,1,0,2,0
3,3404+3405+3406+3407+3408+3483+3481+3482,1.0,0.6378739343033336,1,0,1,0
