,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2902+2904,14.0,0.3393709996743765,3,7,12,20
1,2905+2906+2907+2908,8.0,0.3011470786949041,6,7,6,7
2,2901+2903+2981+2982,2.0,0.4602756357030696,3,0,3,0
3,2983,1.0,0.48501163609852904,1,0,1,0
