Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3407,18.0,0.10324282126689356,6,7,6,20
1,3405,14.0,0.1277758507497793,6,7,6,13
2,3404,9.0,0.15738944557077314,6,7,6,13
3,3408+3483,8.0,0.13481498602373435,6,7,6,7
4,3401+3402,4.0,0.4935514407920185,3,1,4,7
5,3403+3406+3481+3482,2.0,0.5311950182902876,3,0,3,0
