Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401,14.0,0.2748755080048177,6,7,6,7
1,3402,8.0,0.4379060801432562,6,7,6,7
2,3403+3404+3405+3407+3408+3483+3481+3482,2.0,0.6996123416345493,3,0,3,0
3,3403+3404+3405+3407+3406+3481+3408+3482,2.0,0.6826504466207461,3,0,3,0
