,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3408,14.0,0.08390624909195515,3,0,3,0
1,3405,8.0,0.13940124555209477,3,0,3,0
2,3401+3402,4.0,0.33790184847941573,3,0,3,7
3,3403+3404+3406+3407+3481+3482+3483,2.0,0.2879240557982971,3,0,3,0
