Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,4101,18.0,0.06030113203282397,8,19,14,19
1,4104+4105,14.0,0.07573600703465255,6,7,6,7
2,4106,8.0,0.048147284294072536,6,7,6,7
3,4103,4.0,0.01183645086572182,6,7,6,7
4,4102,,,6,7,6,7
