Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401,14.0,0.3240905996430477,6,7,6,7
1,3403,8.0,0.3926153669878069,6,7,6,7
2,3404+3405+3406+3407+3408+3483+3481+3482,2.0,0.5813637216733478,3,0,3,0
3,3402,,,6,7,6,7
