,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3806,14.0,0.25159622189949493,3,7,3,13
1,3801+3802,10.0,0.5185232006685724,3,13,7,13
2,3804+3805,8.0,0.4358000417009504,6,7,6,7
3,3803,4.0,0.0560391243740801,3,0,4,0
4,3807+3808,2.0,0.5389580938116384,3,0,3,0
