Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2902,18.0,0.28762517848314706,14,18,16,21
1,2901+2903+2907+2981+2982,14.0,0.19622469226309505,6,19,14,19
2,2904+2905+2906,8.0,0.13029354260573384,3,7,6,7
3,2908+2983,2.0,0.24776095182993602,3,0,3,0
