,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401,14.0,0.30309672941669613,3,7,3,7
1,3403,10.0,0.026094851143391343,1,0,2,0
2,3402,8.0,0.16541384009507143,2,0,2,0
3,3404+3405+3406+3407+3408+3483+3481+3482,1.0,0.6578776487366182,1,0,1,0
