,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3808,4.0,0.10962305886431552,2,0,2,0
1,3801+3802+3803+3804+3806+3805+3807,2.0,0.09384930647701935,2,0,2,0
