Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3806,14.0,0.3072037297445238,7,13,7,13
1,3802,10.0,0.049321198448630185,3,0,3,13
2,3807+3808,8.0,0.5503449254357918,6,7,6,7
3,3801+3803,4.0,0.2893261052434807,4,0,4,7
4,3804+3805,2.0,0.2464561852388669,3,0,3,0
