Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,4102,14.0,0.005037846992147175,6,7,6,7
1,4101,8.0,0.4659088431161332,6,7,6,7
2,4103+4104+4105+4106,2.0,0.6997767521462572,3,0,3,0
