,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,4106,14.0,0.10450876270178938,3,7,6,7
1,4103+4104,8.0,0.26292367139637873,6,7,6,7
2,4105,2.0,0.1561951154158998,3,0,3,0
3,4101+4102,1.0,0.3157628416631203,3,0,3,0
