Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2906+2907+2908,14.0,0.2554923196925535,6,9,6,20
1,2981,9.0,0.005764678304762132,3,0,3,20
2,2902+2903+2982+2903+2983+2904+2905,8.0,0.4356472913203049,6,7,6,13
3,2901,4.0,0.08687593010946143,6,7,6,7
