,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,4103+4104,14.0,0.505954460990723,6,9,12,20
1,4102,8.0,0.016175552870801753,4,1,4,30
2,4101,4.0,0.48913439280547333,4,2,4,2
3,4105+4106,2.0,0.7654438403351213,3,0,3,0
