,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3402+3404,18.0,0.27907852803217953,8,18,17,27
1,3405+3408,14.0,0.21143877191337165,6,7,6,20
2,3401,4.0,0.4969741016645935,3,1,4,30
3,3403+3406+3407+3481+3482,2.0,0.5880472215186121,3,0,3,0
4,3483,,,6,7,6,7
