,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2905+2906,14.0,0.09822168152183385,3,0,3,0
1,2904,8.0,0.2897271942735479,3,0,3,7
2,2983,4.0,0.028249292090060833,3,0,3,0
3,2901+2903+2907+2908+2981+2982,2.0,0.2585978531802872,3,0,3,0
4,2902,1.0,0.34033799840176937,2,0,4,0
