Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,4103,18.0,0.01726532328279625,12,18,12,21
1,4101+4102,14.0,0.1920417282437521,3,7,12,20
2,4104,10.0,0.00620821536179473,3,7,6,7
3,4105+4106,4.0,0.06964486738030945,3,0,4,7
