Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3805+3806+3808,14.0,0.22138223926269565,6,7,6,7
1,3801+3802,10.0,0.6469550224094083,7,13,7,13
2,3803+3804+3807,8.0,0.3130726689007101,6,7,6,7
