,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3801+3802,14.0,0.2132668015461698,3,13,7,13
1,3806,10.0,0.18632189717842695,6,9,6,20
2,3803+3804+3805+3808,8.0,0.603521008898338,6,7,6,7
3,3807,2.0,0.6695910066380047,3,0,3,0
