,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3801+3802,14.0,0.4119202969851085,3,13,13,13
1,3805,10.0,0.2655991335850918,7,13,7,13
2,3804,8.0,0.26648391577694547,3,0,3,7
3,3803+3806,4.0,0.27690294403873694,4,0,4,0
4,3807+3808,2.0,0.3123068004622014,2,0,4,0
