,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401+3402+3405+3408,4.0,0.27167107530950124,1,0,2,0
1,3403+3404+3406+3407+3481+3482+3483,1.0,0.47744299358798925,1,0,1,0
