,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3801+3802+3804+3805,14.0,0.2638008616708393,6,7,6,13
1,3806,10.0,0.16303314102675884,6,9,6,13
2,3803,8.0,0.25805609145602,6,7,6,7
3,3808,8.0,0.2067689278532661,6,7,6,7
4,3807,2.0,0.8099286590796807,3,0,3,0
