Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3401,14.0,0.19119778626960074,3,7,3,7
1,3403,8.0,0.1627109515471446,1,0,2,0
2,3402,2.0,0.43662845438017545,2,0,4,0
3,3404+3405+3406+3407+3408+3483+3481+3482,1.0,0.6727962448249429,1,0,1,0
