Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2902+2903+2907+2982,14.0,0.27913830535920314,6,18,12,21
1,2901+2981,8.0,0.13401926175441525,6,9,6,13
2,2904,,,6,10,14,19
3,2905,,,6,9,6,13
4,2906,,,6,9,6,13
5,2908,,,6,13,6,19
6,2983,,,6,9,6,13
