,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,3805,14.0,0.2975585978862614,3,7,6,13
1,3801+3802,10.0,0.7497231629968027,7,13,7,13
2,3803+3804,8.0,0.5901448503685226,6,7,6,7
3,3806,4.0,0.2512712087122092,3,0,3,7
4,3807+3808,2.0,0.7813438435584641,3,0,3,0
