Unnamed: 0,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2901+2903+2981,14.0,0.19509402039868934,6,9,6,13
1,2902+2904+2905+2906+2907+2908+2983,8.0,0.21277972193050465,6,7,6,9
2,2982,2.0,0.17797393273802836,6,7,6,7
