,zone,cible_wme,hss,compas,agat,compas_asym,agat_asym
0,2901+2981,18.0,0.3542172043987936,16,19,16,19
1,2903+2904+2905+2907+2903+2982,14.0,0.20904605108112045,14,18,14,21
2,2903+2904+2905+2903+2982+2905+2906,14.0,0.19844703236795186,14,18,14,21
3,2908+2983,8.0,0.22814613153750735,6,7,6,13
4,2902,,,14,18,14,21
