,zone_winning,zw_compas,zone_comp,zc_compas,zone_winning_2,zw2_compas,zone_winning_comp,zwc_compas,zone_comp_winning,zcw_compas,zone_comp_comp,zc2_compas
0,2981+2982,1,2901+2902+2903+2904+2905+2906+2907+2908+2983,4,,,,,,,,
1,2903+2981+2982,1,2901+2902+2904+2905+2906+2907+2908+2983,4,,,,,,,,
2,2901+2902+2904+2905+2906+2907,4,2903+2908+2981+2982+2983,1,,,,,2903+2908+2981+2982+2983,1,,1
3,2903+2982+2983,3,2901+2902+2904+2905+2906+2907+2908+2981,4,,,,,2905,2,2901+2902+2904+2906+2907+2908+2981,4
4,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
5,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
6,2902+2904,6,2901+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
7,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
8,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
9,2901+2902+2903+2981+2982,6,2904+2905+2906+2907+2908+2983,3,2903+2982,12,2901+2902+2981,6,2904+2905+2906+2907+2908+2983,3,,3
10,2901,6,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,6,,,,,,,,
11,2903+2982,12,2901+2902+2904+2905+2906+2907+2908+2981+2983,6,2903+2982,12,,12,2901+2902+2904+2905+2906+2907+2908+2981+2983,6,,6
12,2901+2902+2904,8,2903+2905+2906+2907+2908+2981+2982+2983,6,2901,16,2902+2904,8,2903+2905+2906+2907+2908+2981+2982+2983,6,,6
13,2981,3,2901+2902+2903+2904+2905+2906+2907+2908+2982+2983,6,,,,,2904,8,2901+2902+2903+2905+2906+2907+2908+2982+2983,6
14,2901+2981,3,2902+2903+2904+2905+2906+2907+2908+2982+2983,6,,,,,2902+2903+2904+2905+2906+2907+2908+2982+2983,6,,6
15,2904+2905+2906+2907+2908+2983,6,2901+2902+2903+2981+2982,3,,,,,,,,
16,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
17,2901+2902+2903+2907+2908+2983+2981+2982,3,2904+2905+2906,4,,,,,,,,
18,2904,4,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
19,2904,6,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
20,2902+2903,4,2901+2904+2905+2906+2907+2908+2981+2982+2983,3,2902,2,2903,4,,,,
21,2981,4,2901+2902+2903+2904+2905+2906+2907+2908+2982+2983,3,,,,,,,,
22,2903+2904+2905+2906+2907+2908+2983,3,2901+2902+2981+2982,1,2905+2906+2907+2908+2983,3,2903+2904,12,2901+2981+2982,1,2902,12
23,2901+2902+2904+2903+2905+2981+2982,1,2906+2907+2908+2983,3,,,,,2906,12,2907+2908+2983,3
24,2902+2901+2981,1,2903+2904+2905+2906+2907+2908+2982+2983,2,,,,,2903+2908+2982+2983,2,2904+2905+2906+2907,3
25,2904+2905+2906+2907,3,2901+2902+2903+2908+2981+2982+2983,2,,,,,,,,
26,2902+2905+2903+2982,2,2901+2904+2906+2907+2908+2981+2983,3,,,,,,,,
27,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
28,2981,12,2901+2902+2903+2904+2905+2906+2907+2908+2982+2983,3,,,,,,,,
29,2901+2981,14,2902+2903+2904+2905+2906+2907+2908+2982+2983,3,2901,14,2981,12,,,,
