,zone_winning,zw_agat_asym,zone_comp,zc_agat_asym,zone_winning_2,zw2_agat_asym,zone_winning_comp,zwc_agat_asym,zone_comp_winning,zcw_agat_asym,zone_comp_comp,zc2_agat_asym
0,3801+3802+3803+3806+3807+3808,0,3804+3805,0,,,,,,,,
1,3803,21,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
2,3801+3803+3806,13,3802+3804+3805+3807+3808,0,3801+3803+3806,13,,,3804+3808,7,3802+3805+3807,0
3,3801+3802+3803+3804+3805+3806+3808,13,3807,0,3801+3802+3803+3804+3805+3806+3808,13,,,,,,
4,3801+3802+3803+3805+3806+3808,13,3804+3807,0,3801+3802+3803+3805+3806+3808,13,,,3804,7,3807,0
5,3801+3802+3803+3806,13,3804+3805+3807+3808,7,3801+3802+3803+3806,13,,,3804+3805+3807+3808,7,,
6,3803+3804+3807+3808,7,3801+3802+3805+3806,13,3803+3804+3807+3808,7,,,3801+3802,13,3805+3806,0
7,3803+3804+3805+3806+3807+3808,7,3801+3802,13,3803+3804+3805+3806+3807+3808,7,,,3801+3802,13,,
8,3803+3804+3805+3806+3807+3808,7,3801+3802,13,3804+3805+3807+3806+3808,7,3803,0,3801+3802,13,,
9,3803+3804+3808,0,3801+3802+3805+3806+3807,7,3803+3804+3808,0,,0,3801+3802,13,3805+3806+3807,0
10,3804+3807+3808,0,3801+3802+3803+3805+3806,7,3804+3807+3808,0,,0,3801,13,3802+3803+3805+3806,0
11,3801+3803+3806+3808,7,3802+3804+3805+3807,0,3801+3803+3806+3808,7,,,3802+3804+3805+3807,0,,0
12,3801+3802+3803+3804+3805+3806+3808,13,3807,0,3801+3802+3803+3804+3805+3806+3808,13,,,,,,
13,3801+3802+3804+3805+3804+3806,13,3803+3807+3808,0,3801+3802+3804+3805+3804+3806,13,,,,,,
14,3807+3808,0,3801+3802+3803+3804+3805+3806,7,,,,,3801+3802+3803+3805+3804+3806,7,,0
15,3803+3804+3805+3806+3807+3808,0,3801+3802,13,3803+3804+3805+3806+3807+3808,0,,0,3801+3802,13,,
16,3801,13,3802+3803+3804+3805+3806+3807+3808,0,,,,,3802,7,3803+3804+3805+3806+3807+3808,0
17,3802+3803+3804+3805+3807+3806+3808,0,3801,13,,,,,,,,
18,3802+3803+3804+3805+3807+3806+3808,0,3801,7,3802+3803+3804+3805+3807+3806+3808,0,,0,,,,
19,3802+3804+3807,0,3801+3803+3805+3806+3808,0,3802+3804+3807,0,,0,3801+3803+3805+3806+3808,0,,0
20,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
21,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,3801+3802+3804+3805+3806+3807+3808,0,,0
22,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
23,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
24,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
25,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
26,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
27,3801+3802+3804+3808,0,3803+3805+3806+3807,0,,,,,3803+3805+3806+3807,0,,0
28,3804+3808,0,3801+3802+3803+3805+3806+3807,0,,,,,3801+3802+3803+3805+3806+3807,0,,0
29,3807,0,3801+3802+3803+3804+3805+3806+3808,0,,,,,,,,
30,3804,0,3801+3802+3803+3805+3806+3807+3808,0,,,,,3801+3802+3803+3805+3806+3807+3808,0,,0
31,3801,0,3802+3803+3804+3805+3806+3807+3808,0,,,,,,,,
32,3801,0,3802+3803+3804+3805+3806+3807+3808,0,,,,,,,,
33,3807,0,3801+3802+3803+3804+3805+3806+3808,0,,,,,,,,
34,3801,0,3802+3803+3804+3805+3806+3807+3808,0,,,,,,,,
35,3801,0,3802+3803+3804+3805+3806+3807+3808,0,,,,,,,,
36,3801,0,3802+3803+3804+3805+3806+3807+3808,0,,,,,,,,
37,3802,0,3801+3803+3804+3805+3806+3807+3808,0,,,,,,,,
38,3807,0,3801+3802+3803+3804+3805+3806+3808,0,,,,,,,,
39,3803,0,3801+3802+3804+3805+3806+3807+3808,0,,,,,,,,
40,3806,0,3801+3802+3803+3804+3805+3807+3808,0,,,,,,,,
41,3808,7,3801+3802+3803+3804+3805+3806+3807,0,,,,,,,,
42,3803+3806+3804+3805,0,3801+3802+3807+3808,0,,,,,3801+3802+3807+3808,0,,0
43,3807,7,3801+3802+3803+3804+3805+3806+3808,0,,,,,3801+3802+3803+3804+3805+3806+3808,0,,0
44,3803+3804+3806+3807+3808,7,3801+3802+3805,20,3803+3804+3806+3807+3808,7,,,3801+3802,13,3805,0
45,3801+3802+3803+3804+3805+3806+3808,13,3807,0,3801+3802+3803+3804+3805+3806+3808,13,,,,,,
46,3801+3802+3803+3804+3805,13,3806+3807+3808,0,3801+3802+3803+3804+3805,13,,,,,,
47,3803+3804+3805+3806+3807+3808,0,3801+3802,13,3803,7,3804+3805+3806+3807+3808,0,3801+3802,13,,
