,zone_winning,zw_compas,zone_comp,zc_compas,zone_winning_2,zw2_compas,zone_winning_comp,zwc_compas,zone_comp_winning,zcw_compas,zone_comp_comp,zc2_compas
0,3402+3404+3405,8,3401+3403+3406+3407+3408+3481+3482+3483,3,3402+3404,8,3405,6,3401+3403+3406+3407+3408+3482+3483,3,3481,2
1,3401+3403+3406+3407+3408+3481+3482,3,3402+3404+3405+3483,8,3408,6,3401+3403+3406+3407+3481+3482,3,3402+3404,8,3405+3483,6
2,3401+3403+3406+3407+3408+3483+3481+3482,3,3402+3404+3405,6,,,,,3404,8,3402+3405,6
3,3401+3403+3406+3407+3408+3483+3481+3482,3,3402+3404+3405,6,,,,,3402+3404+3405,6,,6
4,3402+3401+3403+3406+3481+3482,3,3404+3405+3407+3408+3483,6,,,,,3404+3405+3407+3408+3483,6,,6
5,3405+3407+3408+3482+3483,6,3401+3402+3403+3404+3406+3481,3,3408+3483,8,3405+3407+3482,6,3401,4,3402+3403+3404+3406+3481,3
6,3405+3407+3408+3482,6,3401+3402+3403+3404+3406+3481+3483,3,3408+3482,8,3405+3407,6,3483,18,3401+3402+3403+3404+3406+3481,3
7,3405+3408+3483,6,3401+3402+3403+3404+3406+3407+3481+3482,3,3405,6,3408+3483,8,3401,4,3402+3403+3404+3406+3407+3481+3482,3
8,3401+3402+3403+3404+3406+3407+3481+3482,3,3405+3408+3483,6,,,,,3405+3408+3483,6,,6
9,3482,2,3401+3402+3403+3404+3405+3406+3407+3408+3481+3483,3,,,,,,,,
10,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
11,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
12,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
13,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
14,3403,4,3401+3402+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
15,3401+3402+3405+3407+3408+3483+3481+3482,3,3403+3404+3406,2,,,,,3404,4,3403+3406,2
16,3402+3403+3404+3406+3481,1,3401+3405+3407+3408+3482+3483,4,3402+3403+3404+3406+3481,1,,1,3408+3482+3483,3,3401+3405+3407,4
17,3401,4,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,1,,,,,3402,2,3403+3404+3405+3406+3407+3408+3481+3482+3483,1
18,3401+3402,4,3403+3404+3405+3406+3407+3408+3481+3482+3483,1,3401+3402,4,,4,,,,
19,3401+3402,4,3403+3404+3405+3406+3407+3408+3481+3482+3483,1,3401+3402,4,,4,,,,
20,3405,4,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,1,,,,,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,1,,1
21,3405,2,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,1,,,,,,,,
22,3403+3404+3406+3407+3408+3483+3481+3482,1,3401+3402+3405,2,,,,,3401+3402+3405,2,,2
23,3402+3404+3405+3406+3407+3481,2,3401+3403+3408+3482+3483,1,3402+3404+3406+3407+3481,2,3405,4,3401+3403+3408+3482+3483,1,,1
24,3401+3403+3404+3406+3407+3481+3482+3483,1,3402+3405+3408,4,,,,,3405,4,3402+3408,2
25,3405,4,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,2,,,,,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,2,,2
26,3405+3408,4,3401+3402+3403+3404+3406+3407+3481+3482+3483,2,3405+3408,4,,4,,,,
27,3401+3403+3404+3406+3407+3408+3481+3482,2,3402+3405+3483,4,3401+3403+3404+3406+3407+3408+3481+3482,2,,2,3402,3,3405+3483,4
28,3401+3402+3404+3403+3406+3405+3407,3,3408+3481+3482+3483,4,,,,,3481+3482,2,3408+3483,4
29,3408+3483,4,3401+3402+3403+3404+3405+3406+3407+3481+3482,3,,,,,,,,
30,3403,2,3401+3402+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
31,3403+3406+3407+3481,2,3401+3402+3404+3405+3408+3482+3483,3,,,,,3401+3402+3404,3,3405+3408+3482+3483,4
32,3401+3402+3404+3403+3406+3404+3405,3,3407+3408+3481+3482+3483,4,,,,,,,,
33,3401+3402+3403+3404,3,3405+3406+3407+3408+3481+3482+3483,4,,,,,,,,
34,3401+3402+3403+3404,3,3405+3406+3407+3408+3481+3482+3483,4,,,,,,,,
35,3401+3402+3404+3406,3,3403+3405+3407+3408+3481+3482+3483,4,,,,,3403,2,3405+3407+3408+3481+3482+3483,4
36,3401+3402+3404+3403+3406,3,3405+3407+3408+3481+3482+3483,4,,,,,,,,
37,3401+3402+3404+3403+3406,3,3405+3407+3408+3481+3482+3483,4,,,,,,,,
38,3401+3402+3403+3404,3,3405+3406+3407+3408+3481+3482+3483,4,,,,,,,,
39,3401+3402+3404+3403+3404+3408+3483,3,3405+3406+3407+3481+3482,4,,,,,,,,
40,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
41,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
42,3401,6,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
43,3401+3402,6,3403+3404+3405+3406+3407+3408+3481+3482+3483,3,3401+3402,6,,6,,,,
44,3401+3402+3405+3407+3406+3482+3408+3483,6,3403+3404+3481,3,,,,,,,,
45,3401+3402+3404+3405+3406+3482+3408+3483,3,3403+3407+3481,1,3482+3483,6,3401+3402+3404+3405+3406+3408,3,3403,1,3407+3481,2
