,zone_winning,zw_compas_asym,zone_comp,zc_compas_asym,zone_winning_2,zw2_compas_asym,zone_winning_comp,zwc_compas_asym,zone_comp_winning,zcw_compas_asym,zone_comp_comp,zc2_compas_asym
0,3801+3802+3803+3805+3807+3806+3808,3,3804,2,,,,,,,,
1,3803,12,3801+3802+3804+3805+3806+3807+3808,3,,,,,,,,
2,3803+3806+3808,6,3801+3802+3804+3805+3807,3,3806,12,3803+3808,6,,,,
3,3803+3804+3805+3806+3808,6,3801+3802+3807,3,3803+3804+3805+3806+3808,6,,6,3801,7,3802+3807,3
4,3802+3803+3804+3805+3806+3808,6,3801+3807,3,3803+3804+3805+3808,6,3802+3806,7,3801+3807,7,,7
5,3803+3804+3805+3807+3808,6,3801+3802+3806,7,,,,,3801+3802+3806,7,,7
6,3803+3804+3805+3807+3808,6,3801+3802+3806,7,,,,,3801+3802+3806,7,,7
7,3803+3804+3805+3806+3807+3808,6,3801+3802,7,3803+3804+3805+3806+3807+3808,6,,6,3801+3802,7,,7
8,3805+3807+3806+3808,6,3801+3802+3803+3804,3,3805+3807+3806+3808,6,,6,3801,7,3802+3803+3804,3
9,3806,6,3801+3802+3803+3804+3805+3807+3808,3,,,,,3802+3803+3804+3805+3807+3808,3,3801,7
10,3805,6,3801+3802+3803+3804+3806+3807+3808,3,,,,,3801+3802+3803+3804+3806+3807+3808,3,,3
11,3803+3806+3808,6,3801+3802+3804+3805+3807,3,3803+3806+3808,6,,6,,,,
12,3802+3803+3804+3805+3806+3808,6,3801+3807,3,3805,12,3802+3803+3804+3806+3808,6,3801+3807,7,,7
13,3802+3803+3804+3805+3804+3806,6,3801+3807+3808,3,3803+3806+3804+3805,6,3802,7,3801,7,3807+3808,3
14,3802+3803+3804+3805,6,3801+3806+3807+3808,3,3803+3804+3805,6,3802,7,,,,
15,3801,7,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
16,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
17,3802+3804+3805+3806+3808,4,3801+3803+3807,3,3806,2,3802+3804+3805+3808,4,3801+3803+3807,3,,3
18,3802+3803+3804+3805+3806+3808,2,3801+3807,3,3808,1,3802+3803+3804+3805+3806,2,3801+3807,3,,3
19,3802+3803+3804+3805+3806+3808,1,3801+3807,3,,,,,3801+3807,3,,3
20,3801+3802+3803+3805+3804+3806,1,3807+3808,3,3802+3803+3804+3805+3804+3806,1,3801,2,3807,3,3808,4
21,3807+3808,3,3801+3802+3803+3804+3805+3806,1,3807+3808,3,,3,3801+3802+3803+3804,1,3805+3806,2
22,3801+3802+3803+3804+3806,1,3805+3807+3808,2,,,,,3808,4,3805+3807,2
23,3802+3803+3804+3805+3807+3806+3808,2,3801,1,3802+3803+3804+3805+3807+3806+3808,2,,2,,,,
24,3801,2,3802+3803+3804+3805+3806+3807+3808,2,,,,,,,,
25,3801+3802+3803+3804+3805+3806+3808,2,3807,4,,,,,,,,
26,3803+3804+3806+3808,2,3801+3802+3805+3807,3,,,,,3807,4,3801+3802+3805,3
27,3801+3802+3804+3805+3807+3806+3808,3,3803,2,,,,,,,,
28,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
29,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
30,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
31,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
32,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
33,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
34,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
35,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
36,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
37,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
38,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
39,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
40,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
41,3808,4,3801+3802+3803+3804+3805+3806+3807,3,,,,,,,,
42,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,,,,
43,3801,3,3802+3803+3804+3805+3806+3807+3808,3,,,,,3802+3803+3804+3805+3806+3807+3808,3,,3
44,3803+3804+3805+3806+3807+3808,6,3801+3802,7,3803+3804+3806+3807+3808,6,3805,13,3801+3802,7,,7
45,3803+3804+3807+3808,6,3801+3802+3805+3806,7,3803+3804+3808,6,3807,3,3806,13,3801+3802+3805,7
46,3805+3807+3806+3808,3,3801+3802+3803+3804,7,,,,,3803+3804,6,3801+3802,7
47,3803+3804+3805+3806+3807+3808,3,3801+3802,7,,,,,3801+3802,7,,7
