,zone_winning,zw_agat,zone_comp,zc_agat,zone_winning_2,zw2_agat,zone_winning_comp,zwc_agat,zone_comp_winning,zcw_agat,zone_comp_comp,zc2_agat
0,2901+2903+2981+2982+2983,0,2902+2904+2905+2906+2907+2908,3,2901,1,2903+2981+2982+2983,0,2902+2904+2905+2906+2907+2908,2,,
1,2903+2908+2982+2981+2903+2983,0,2901+2902+2904+2905+2906+2907,2,,,,,2901+2902+2904+2905+2906+2907,2,,
2,2903+2907+2908+2981+2982+2983,0,2901+2902+2904+2905+2906,2,,,,,2901+2902+2904+2905+2906,2,,
3,2902+2904,1,2901+2903+2905+2906+2907+2908+2981+2982+2983,0,2902+2904,1,,,,,,
4,2903+2905+2906+2903+2907+2981+2982,0,2901+2902+2904+2908+2983,0,,,,,,,,
5,2983,7,2901+2902+2903+2904+2905+2906+2907+2908+2981+2982,0,,,,,,,,
6,2901+2903+2905+2907+2908+2983+2981+2982,0,2902+2904+2906,7,,,,,2902+2904,7,2906,0
7,2904,1,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
8,2904,7,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
9,2903+2982,18,2901+2902+2904+2905+2906+2907+2908+2981+2983,7,2903+2982,18,,,2901+2981+2902+2904,7,2905+2906+2907+2908+2983,0
10,2903,7,2901+2902+2904+2905+2906+2907+2908+2981+2982+2983,7,,,,,,,,
11,2903+2982,18,2901+2902+2904+2905+2906+2907+2908+2981+2983,7,2903+2982,18,,,2901+2981+2902+2904+2905+2906+2907+2908,7,2983,0
12,2907+2908+2982+2983,7,2901+2902+2903+2904+2905+2906+2981,10,2907+2908+2982+2983,7,,,2901+2902+2904+2903+2981+2905+2906,10,,0
13,2904+2905,10,2901+2902+2903+2906+2907+2908+2981+2982+2983,7,2904+2905,10,,,2901+2902+2903+2982+2906+2907+2908+2983,7,2981,0
14,2901+2981,0,2902+2903+2904+2905+2906+2907+2908+2982+2983,7,,,,,2902+2903+2904+2905+2907+2908+2982+2983,7,2906,0
15,2904+2905+2906+2907+2908+2983,7,2901+2902+2903+2981+2982,0,,,,,,,,
16,2906,1,2901+2902+2903+2904+2905+2907+2908+2981+2982+2983,0,,,,,,,,
17,2901+2902+2903+2907+2908+2983+2981+2982,0,2904+2905+2906,1,,,,,2904+2905+2906,1,,
