,zone_winning,zw_compas_asym,zone_comp,zc_compas_asym,zone_winning_2,zw2_compas_asym,zone_winning_comp,zwc_compas_asym,zone_comp_winning,zcw_compas_asym,zone_comp_comp,zc2_compas_asym
0,3402+3404+3405,8,3401+3403+3406+3407+3408+3481+3482+3483,3,3405,6,3402+3404,18,3401+3403+3406+3407+3408+3482+3483,3,3481,4
1,3401+3403+3406+3407+3481+3482,3,3402+3404+3405+3408+3483,8,3403+3406+3407+3482,3,3401+3481,4,3408+3483,6,3402+3404+3405,16
2,3401+3403+3406+3407+3408+3483+3481+3482,3,3402+3404+3405,8,3403+3406+3407+3481+3482+3483,3,3401+3408,4,3404+3405,8,3402,6
3,3401+3403+3406+3481+3482+3483,3,3402+3404+3405+3407+3408,6,3403+3406+3481+3482+3483,3,3401,4,3402+3404+3405+3407,6,3408,3
4,3404+3405+3407+3408+3483,6,3401+3402+3403+3406+3481+3482,3,3404+3405+3407+3408+3483,6,,6,3401,4,3402+3403+3406+3481+3482,3
5,3401+3403+3406+3481,4,3402+3404+3405+3407+3408+3482+3483,6,3401,4,3403+3406+3481,3,3407+3408+3483,14,3402+3404+3405+3482,6
6,3401+3402+3404+3403+3406+3481,3,3405+3407+3408+3482+3483,8,3401,4,3402+3403+3404+3406+3481,3,3405+3407,6,3408+3482+3483,18
7,3405+3408+3483,8,3401+3402+3403+3404+3406+3407+3481+3482,3,3405,6,3408+3483,8,3401,4,3402+3403+3404+3406+3407+3481+3482,3
8,3401+3402+3403+3404+3406+3407+3481+3482,3,3405+3408+3483,6,,,,,3483,14,3405+3408,6
9,3403+3404+3405+3408+3406+3481+3407+3483,3,3401+3402+3482,4,,,,,,,,
10,3401,4,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
11,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
12,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
13,3401,3,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,3,,,,,,,,
14,3401+3403,4,3402+3404+3405+3406+3407+3408+3481+3482+3483,3,3401+3403,4,,4,,,,
15,3402+3405+3407+3408+3483+3481+3482,3,3401+3403+3404+3406,4,,,,,3403+3406,2,3401+3404,4
