,zone_winning,zw_compas_asym,zone_comp,zc_compas_asym,zone_winning_2,zw2_compas_asym,zone_winning_comp,zwc_compas_asym,zone_comp_winning,zcw_compas_asym,zone_comp_comp,zc2_compas_asym
0,2982,1,2901+2902+2903+2904+2905+2906+2907+2908+2981+2983,4,,,,,,,,
1,2903+2982,1,2901+2902+2904+2905+2906+2907+2908+2981+2983,4,,,,,,,,
2,2902+2901+2981+2904+2905+2906+2907,4,2903+2908+2982+2983,1,,,,,2908+2982+2983,1,2903,2
3,2903+2982+2983,3,2901+2902+2904+2905+2906+2907+2908+2981,4,,,,,2901+2902+2904+2905+2906+2907+2908+2981,4,,4
4,2901+2902+2903+2907+2908+2983+2981+2982,3,2904+2905+2906,4,,,,,,,,
5,2902+2903+2904+2905+2906+2907+2908+2982,3,2901+2981+2983,6,,,,,2901,3,2981+2983,6
6,2901+2903+2905+2907+2908+2983+2981+2982,3,2902+2904+2906,6,,,,,2902+2904+2906,6,,6
7,2904,4,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
8,2901+2902+2903+2905+2906+2907+2908+2983,3,2904+2981+2982,6,,,,,2904+2981+2982,6,,6
9,2903+2982+2905+2907,12,2901+2902+2904+2906+2908+2981+2983,6,2905+2903+2982,12,2907,3,2902+2901+2981,6,2904+2906+2908+2983,3
10,2901,6,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,6,,,,,,,,
11,2903+2982,12,2901+2902+2904+2905+2906+2907+2908+2981+2983,6,2903+2982,12,,12,,,,
12,2904+2905+2906+2907+2908+2982+2983,6,2901+2902+2903+2981,14,2907,12,2904+2905+2906+2908+2982+2983,6,2901+2903+2981,16,2902,8
13,2904,8,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,6,,,,,2906,12,2901+2902+2903+2905+2907+2908+2981+2982+2983,6
14,2901+2981,3,2902+2903+2904+2905+2906+2907+2908+2982+2983,6,,,,,2902+2903+2905+2906+2907+2908+2982+2983,6,2904,8
15,2904+2905+2906+2907+2908+2983,6,2901+2902+2903+2981+2982,3,,,,,,,,
16,2906,4,2901+2902+2903+2904+2905+2907+2908+2981+2982+2983,3,,,,,,,,
17,2904+2905+2906,4,2901+2902+2903+2907+2908+2981+2982+2983,3,,,,,,,,
18,2904,4,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
19,2904,6,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
20,2902+2903,4,2901+2904+2905+2906+2907+2908+2981+2982+2983,3,2902+2903,4,,4,,,,
21,2982,12,2901+2902+2903+2904+2905+2906+2907+2908+2981+2983,3,,,,,,,,
22,2901+2902+2904+2903+2905+2981+2982,12,2906+2907+2908+2983,3,2902+2903+2905+2902+2904+2903+2982,12,2901+2981,1,,,,
23,2901+2902+2903+2903+2905+2981+2982,1,2904+2906+2907+2908+2983,3,,,,,2907+2908+2983,3,2904+2906,12
24,2903+2908+2982+2983+2904+2905+2906+2907,2,2901+2902+2981,1,2904+2905+2906+2907,3,2903+2908+2982+2983,2,,,,
25,2904+2905+2906+2907,3,2901+2902+2903+2908+2981+2982+2983,2,,,,,,,,
26,2901+2981+2902+2904+2903+2907+2908+2983,3,2905+2906+2982,2,,,,,2906,3,2905+2982,2
27,2901,3,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
28,2901+2981,12,2902+2903+2904+2905+2906+2907+2908+2982+2983,3,2901+2981,12,,12,,,,
29,2901+2981,14,2902+2903+2904+2905+2906+2907+2908+2982+2983,3,2901,14,2981,12,,,,
30,2901+2981,14,2902+2903+2904+2905+2906+2907+2908+2982+2983,3,2901+2981,14,,14,,,,
31,2981,16,2901+2902+2903+2904+2905+2906+2907+2908+2982+2983,3,,,,,,,,
32,2901+2902+2903+2981+2982,14,2904+2905+2906+2907+2908+2983,3,2901+2903+2981+2982,14,2902,16,2904+2905,6,2906+2907+2908+2983,3
33,2903+2904+2905+2906+2907+2908+2982,14,2901+2902+2981+2983,3,2905+2906+2907+2908,16,2903+2904+2982,6,2983,12,2901+2902+2981,3
34,2903+2904+2905+2906+2907+2908+2982,8,2901+2902+2981+2983,3,2906+2907,18,2903+2904+2905+2908+2982,14,,,,
35,2903+2905+2906+2907+2903+2982,8,2901+2902+2904+2908+2981+2983,6,,,,,2981,3,2901+2902+2904+2908+2983,6
36,2903+2904+2905+2903+2982+2906+2907,8,2901+2902+2908+2981+2983,6,2903+2904+2905+2903+2982+2905+2906,8,2907,18,,,,
37,2901+2902+2903+2908+2983+2981+2982,6,2904+2905+2906+2907,8,,,,,2904+2905+2907,8,2906,9
38,2982,12,2901+2902+2903+2904+2905+2906+2907+2908+2981+2983,6,,,,,2906,8,2901+2902+2903+2904+2905+2907+2908+2981+2983,6
39,2908+2983,6,2901+2902+2903+2904+2905+2906+2907+2981+2982,14,,,,,2901+2902+2903+2903+2905+2981+2982,14,2904+2906+2907,12
40,2901+2903+2906+2907+2908+2983+2981+2982,6,2902+2904+2905,12,2906+2907+2908+2982+2983,6,2901+2903+2981,3,2902+2904+2905,12,,12
41,2902+2904+2905+2903+2908+2982+2983,6,2901+2906+2907+2981,12,,,,,2901+2906+2907+2981,12,,12
42,2903+2908+2982+2983+2904+2905+2906+2907,6,2901+2902+2981,12,2903+2905+2982+2983,3,2904+2906+2907+2908,6,2901+2902+2981,12,,12
43,2904,12,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,3,,,,,,,,
44,2901+2902+2903+2982+2904+2905+2906+2907,3,2908+2981+2983,6,,,,,2908,3,2981+2983,6
45,2902+2901+2981+2903+2908+2906+2907,6,2904+2905+2982+2983,12,2902+2901+2981,3,2903+2906+2907+2908,6,2904+2905+2982+2983,12,,12
46,2901+2902+2904+2903+2905+2908+2983,6,2906+2907+2981+2982,12,2903+2904+2905,3,2901+2902+2908+2983,6,2982,4,2906+2907+2981,12
47,2901+2981+2902+2904+2905+2906+2907+2908,6,2903+2982+2983,12,2902+2901+2981+2904+2905+2906,6,2907+2908,3,2903+2982,12,2983,3
