,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 18 01 00,4,3,0,1,1,2
2019 12 18 02 00,4,3,0,1,1,2
2019 12 18 03 00,4,3,0,1,1,2
2019 12 18 04 00,4,3,0,1,1,2
2019 12 18 05 00,4,3,0,1,1,2
2019 12 18 06 00,4,3,0,1,1,2
2019 12 18 07 00,4,3,0,1,1,2
2019 12 18 08 00,4,3,0,1,1,2
2019 12 18 09 00,4,4,0,0,1,1
2019 12 18 10 00,0,2,0,0,1,1
2019 12 18 11 00,0,1,0,1,1,2
2019 12 18 12 00,0,1,0,1,1,2
2019 12 18 13 00,0,1,0,1,1,2
2019 12 18 14 00,0,1,0,1,1,2
2019 12 18 15 00,6,2,0,1,1,2
2019 12 18 16 00,6,2,0,1,1,2
2019 12 18 17 00,6,2,0,1,1,2
2019 12 18 18 00,6,2,0,1,1,2
2019 12 18 19 00,6,2,0,1,1,2
2019 12 18 20 00,0,1,0,1,1,2
2019 12 18 21 00,0,1,0,1,1,2
2019 12 18 22 00,0,1,0,1,1,2
2019 12 18 23 00,0,1,0,1,1,2
2019 12 19 00 00,0,1,0,1,1,2
2019 12 19 01 00,0,1,0,1,1,2
2019 12 19 02 00,0,1,0,1,1,2
2019 12 19 03 00,0,1,0,1,1,2
2019 12 19 04 00,0,1,0,1,1,2
2019 12 19 05 00,0,1,0,1,1,2
2019 12 19 06 00,0,1,0,1,1,2
2019 12 19 07 00,0,1,0,1,1,2
2019 12 19 08 00,0,1,0,1,1,2
2019 12 19 09 00,0,1,0,1,1,2
2019 12 19 10 00,0,1,0,1,1,2
2019 12 19 11 00,0,1,0,1,1,2
2019 12 19 12 00,6,2,0,1,1,2
2019 12 19 13 00,6,2,0,1,1,2
2019 12 19 14 00,6,2,0,1,1,2
2019 12 19 15 00,4,3,0,1,1,2
2019 12 19 16 00,4,3,0,1,1,2
2019 12 19 17 00,6,2,0,1,1,2
2019 12 19 18 00,0,1,0,1,1,2
2019 12 19 19 00,0,1,0,1,1,2
2019 12 19 20 00,0,1,0,1,1,2
2019 12 19 21 00,6,2,0,1,1,2
2019 12 19 22 00,6,2,0,1,1,2
2019 12 19 23 00,6,2,0,1,1,2
2019 12 20 00 00,4,3,0,1,1,2
