,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 30 01 00,0,4,0,0,1,1
2019 11 30 02 00,0,2,0,0,1,1
2019 11 30 03 00,0,2,0,0,1,1
2019 11 30 04 00,0,2,0,0,1,1
2019 11 30 05 00,33,2,0,0,0,0
2019 11 30 06 00,6,2,0,1,1,2
2019 11 30 07 00,33,2,0,0,0,0
2019 11 30 08 00,0,1,0,1,1,2
2019 11 30 09 00,0,1,0,1,1,2
2019 11 30 10 00,0,2,0,0,1,1
2019 11 30 11 00,6,2,0,1,1,2
2019 11 30 12 00,6,2,0,1,1,2
2019 11 30 13 00,4,3,0,1,1,2
2019 11 30 14 00,4,3,0,1,1,2
2019 11 30 15 00,4,3,0,1,1,2
2019 11 30 16 00,4,3,0,1,1,2
2019 11 30 17 00,4,3,0,1,1,2
2019 11 30 18 00,4,3,0,1,1,2
2019 11 30 19 00,4,3,0,1,1,2
2019 11 30 20 00,4,3,0,1,1,2
2019 11 30 21 00,4,3,0,1,1,2
2019 11 30 22 00,4,3,0,1,1,2
2019 11 30 23 00,4,3,0,1,1,2
2019 12 01 00 00,4,3,0,1,1,2
2019 12 01 01 00,4,3,0,1,1,2
2019 12 01 02 00,40,3,7,0,1,1
2019 12 01 03 00,40,3,7,0,1,1
2019 12 01 04 00,4,3,0,1,1,2
2019 12 01 05 00,4,3,7,1,0,1
2019 12 01 06 00,4,6,7,0,0,0
2019 12 01 07 00,40,6,9,1,0,1
2019 12 01 08 00,52,8,13,1,0,1
2019 12 01 09 00,52,8,10,1,1,2
2019 12 01 10 00,52,8,10,1,1,2
2019 12 01 11 00,52,8,10,1,1,2
2019 12 01 12 00,52,8,10,1,1,2
2019 12 01 13 00,52,6,9,0,0,0
2019 12 01 14 00,52,6,9,0,0,0
2019 12 01 15 00,40,6,7,1,1,2
2019 12 01 16 00,4,3,7,1,0,1
2019 12 01 17 00,4,3,0,1,1,2
2019 12 01 18 00,4,3,0,1,1,2
2019 12 01 19 00,4,3,0,1,1,2
2019 12 01 20 00,3,2,0,0,1,1
2019 12 01 21 00,0,4,0,0,1,1
2019 12 01 22 00,4,4,0,0,1,1
2019 12 01 23 00,4,4,0,0,1,1
2019 12 02 00 00,40,3,0,0,0,0
