,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 23 01 00,40,3,7,0,1,1
2019 12 23 02 00,40,6,7,1,1,2
2019 12 23 03 00,40,6,7,1,1,2
2019 12 23 04 00,40,6,7,1,1,2
2019 12 23 05 00,40,6,7,1,1,2
2019 12 23 06 00,40,6,7,1,1,2
2019 12 23 07 00,40,6,7,1,1,2
2019 12 23 08 00,40,3,7,0,1,1
2019 12 23 09 00,40,3,7,0,1,1
2019 12 23 10 00,40,6,7,1,1,2
2019 12 23 11 00,40,6,7,1,1,2
2019 12 23 12 00,40,6,7,1,1,2
2019 12 23 13 00,40,6,7,1,1,2
2019 12 23 14 00,40,6,7,1,1,2
2019 12 23 15 00,40,6,7,1,1,2
2019 12 23 16 00,40,3,7,0,1,1
2019 12 23 17 00,40,3,0,0,0,0
2019 12 23 18 00,6,2,0,1,1,2
2019 12 23 19 00,6,2,0,1,1,2
2019 12 23 20 00,4,4,0,0,1,1
2019 12 23 21 00,4,4,0,0,1,1
2019 12 23 22 00,4,3,0,1,1,2
2019 12 23 23 00,4,3,0,1,1,2
2019 12 24 00 00,4,3,0,1,1,2
2019 12 24 01 00,4,3,0,1,1,2
2019 12 24 02 00,4,3,0,1,1,2
2019 12 24 03 00,4,3,0,1,1,2
2019 12 24 04 00,4,3,0,1,1,2
2019 12 24 05 00,40,6,7,1,1,2
2019 12 24 06 00,40,6,7,1,1,2
2019 12 24 07 00,40,6,7,1,1,2
2019 12 24 08 00,40,6,9,1,0,1
2019 12 24 09 00,4,3,7,1,0,1
2019 12 24 10 00,40,6,7,1,1,2
2019 12 24 11 00,40,6,7,1,1,2
2019 12 24 12 00,40,6,7,1,1,2
2019 12 24 13 00,40,6,7,1,1,2
2019 12 24 14 00,40,4,0,0,0,0
2019 12 24 15 00,6,2,0,1,1,2
2019 12 24 16 00,6,2,0,1,1,2
2019 12 24 17 00,6,2,0,1,1,2
2019 12 24 18 00,6,2,0,1,1,2
2019 12 24 19 00,6,2,0,1,1,2
2019 12 24 20 00,0,1,0,1,1,2
2019 12 24 21 00,0,1,0,1,1,2
2019 12 24 22 00,0,2,0,0,1,1
2019 12 24 23 00,6,2,0,1,1,2
2019 12 25 00 00,6,2,0,1,1,2
