,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 07 01 00,4,3,0,1,1,2
2019 12 07 02 00,4,2,0,0,1,1
2019 12 07 03 00,4,3,0,1,1,2
2019 12 07 04 00,4,3,0,1,1,2
2019 12 07 05 00,4,3,0,1,1,2
2019 12 07 06 00,0,2,0,0,1,1
2019 12 07 07 00,0,1,0,1,1,2
2019 12 07 08 00,4,2,0,0,1,1
2019 12 07 09 00,4,2,0,0,1,1
2019 12 07 10 00,4,2,0,0,1,1
2019 12 07 11 00,0,2,0,0,1,1
2019 12 07 12 00,0,1,0,1,1,2
2019 12 07 13 00,0,1,0,1,1,2
2019 12 07 14 00,0,1,0,1,1,2
2019 12 07 15 00,6,2,0,1,1,2
2019 12 07 16 00,0,2,0,0,1,1
2019 12 07 17 00,0,1,0,1,1,2
2019 12 07 18 00,0,1,0,1,1,2
2019 12 07 19 00,0,1,0,1,1,2
2019 12 07 20 00,0,1,0,1,1,2
2019 12 07 21 00,0,1,0,1,1,2
2019 12 07 22 00,0,1,0,1,1,2
2019 12 07 23 00,0,1,0,1,1,2
2019 12 08 00 00,0,1,0,1,1,2
2019 12 08 01 00,0,1,0,1,1,2
2019 12 08 02 00,0,1,0,1,1,2
2019 12 08 03 00,0,1,0,1,1,2
2019 12 08 04 00,0,1,0,1,1,2
2019 12 08 05 00,0,1,0,1,1,2
2019 12 08 06 00,6,2,0,1,1,2
2019 12 08 07 00,6,2,0,1,1,2
2019 12 08 08 00,6,2,0,1,1,2
2019 12 08 09 00,6,2,0,1,1,2
2019 12 08 10 00,6,2,0,1,1,2
2019 12 08 11 00,6,2,0,1,1,2
2019 12 08 12 00,6,2,0,1,1,2
2019 12 08 13 00,6,2,0,1,1,2
2019 12 08 14 00,4,3,0,1,1,2
2019 12 08 15 00,4,3,0,1,1,2
2019 12 08 16 00,4,3,0,1,1,2
2019 12 08 17 00,4,3,0,1,1,2
2019 12 08 18 00,4,3,7,1,0,1
2019 12 08 19 00,40,6,7,1,1,2
2019 12 08 20 00,40,6,7,1,1,2
2019 12 08 21 00,40,3,7,0,1,1
2019 12 08 22 00,4,3,0,1,1,2
2019 12 08 23 00,4,4,0,0,1,1
2019 12 09 00 00,6,2,0,1,1,2
