,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 01 01 00,0,1,0,1,1,2
2020 01 01 02 00,0,1,0,1,1,2
2020 01 01 03 00,0,1,0,1,1,2
2020 01 01 04 00,0,1,0,1,1,2
2020 01 01 05 00,0,1,0,1,1,2
2020 01 01 06 00,0,2,0,0,1,1
2020 01 01 07 00,6,2,0,1,1,2
2020 01 01 08 00,6,2,0,1,1,2
2020 01 01 09 00,0,2,0,0,1,1
2020 01 01 10 00,0,1,0,1,1,2
2020 01 01 11 00,0,1,0,1,1,2
2020 01 01 12 00,0,1,0,1,1,2
2020 01 01 13 00,0,1,0,1,1,2
2020 01 01 14 00,0,1,0,1,1,2
2020 01 01 15 00,0,1,0,1,1,2
2020 01 01 16 00,0,1,0,1,1,2
2020 01 01 17 00,0,1,0,1,1,2
2020 01 01 18 00,0,1,0,1,1,2
2020 01 01 19 00,0,1,0,1,1,2
2020 01 01 20 00,0,1,0,1,1,2
2020 01 01 21 00,0,1,0,1,1,2
2020 01 01 22 00,0,1,0,1,1,2
2020 01 01 23 00,0,1,0,1,1,2
2020 01 02 00 00,0,2,0,0,1,1
2020 01 02 01 00,0,2,0,0,1,1
2020 01 02 02 00,0,2,0,0,1,1
2020 01 02 03 00,0,2,0,0,1,1
2020 01 02 04 00,0,4,0,0,1,1
2020 01 02 05 00,0,2,0,0,1,1
2020 01 02 06 00,0,1,0,1,1,2
2020 01 02 07 00,0,2,0,0,1,1
2020 01 02 08 00,0,4,0,0,1,1
2020 01 02 09 00,0,4,0,0,1,1
2020 01 02 10 00,0,4,0,0,1,1
2020 01 02 11 00,0,2,0,0,1,1
2020 01 02 12 00,0,1,0,1,1,2
2020 01 02 13 00,0,1,0,1,1,2
2020 01 02 14 00,0,1,0,1,1,2
2020 01 02 15 00,4,3,0,1,1,2
2020 01 02 16 00,4,3,0,1,1,2
2020 01 02 17 00,4,3,0,1,1,2
2020 01 02 18 00,4,3,0,1,1,2
2020 01 02 19 00,4,3,0,1,1,2
2020 01 02 20 00,4,3,0,1,1,2
2020 01 02 21 00,4,3,0,1,1,2
2020 01 02 22 00,4,3,0,1,1,2
2020 01 02 23 00,4,3,0,1,1,2
2020 01 03 00 00,4,3,0,1,1,2
