,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 13 01 00,40,6,7,1,1,2
2019 12 13 02 00,40,6,13,1,0,1
2019 12 13 03 00,52,6,10,0,1,1
2019 12 13 04 00,51,6,13,1,0,1
2019 12 13 05 00,40,6,9,1,0,1
2019 12 13 06 00,40,6,7,1,1,2
2019 12 13 07 00,51,6,13,1,0,1
2019 12 13 08 00,52,8,10,1,1,2
2019 12 13 09 00,40,6,9,1,0,1
2019 12 13 10 00,40,3,7,0,1,1
2019 12 13 11 00,40,6,7,1,1,2
2019 12 13 12 00,40,2,7,0,1,1
2019 12 13 13 00,4,3,0,1,1,2
2019 12 13 14 00,4,3,7,1,0,1
2019 12 13 15 00,40,3,7,0,1,1
2019 12 13 16 00,4,3,0,1,1,2
2019 12 13 17 00,40,6,7,1,1,2
2019 12 13 18 00,40,3,7,0,1,1
2019 12 13 19 00,4,3,0,1,1,2
2019 12 13 20 00,4,3,7,1,0,1
2019 12 13 21 00,4,3,0,1,1,2
2019 12 13 22 00,40,6,7,1,1,2
2019 12 13 23 00,51,6,9,1,1,2
2019 12 14 00 00,51,6,9,1,1,2
2019 12 14 01 00,40,6,7,1,1,2
2019 12 14 02 00,40,6,7,1,1,2
2019 12 14 03 00,40,6,7,1,1,2
2019 12 14 04 00,40,6,7,1,1,2
2019 12 14 05 00,40,6,7,1,1,2
2019 12 14 06 00,40,6,7,1,1,2
2019 12 14 07 00,40,6,9,1,0,1
2019 12 14 08 00,40,6,7,1,1,2
2019 12 14 09 00,40,6,7,1,1,2
2019 12 14 10 00,40,6,7,1,1,2
2019 12 14 11 00,40,6,7,1,1,2
2019 12 14 12 00,40,6,7,1,1,2
2019 12 14 13 00,40,6,7,1,1,2
2019 12 14 14 00,40,6,7,1,1,2
2019 12 14 15 00,40,6,7,1,1,2
2019 12 14 16 00,40,6,7,1,1,2
2019 12 14 17 00,40,6,7,1,1,2
2019 12 14 18 00,4,3,0,1,1,2
2019 12 14 19 00,4,3,0,1,1,2
2019 12 14 20 00,4,3,0,1,1,2
2019 12 14 21 00,4,3,0,1,1,2
2019 12 14 22 00,4,3,0,1,1,2
2019 12 14 23 00,4,3,0,1,1,2
2019 12 15 00 00,4,3,0,1,1,2
