,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 02 01 00,33,4,2,1,0,1
2019 12 02 02 00,33,4,1,1,0,1
2019 12 02 03 00,33,4,2,1,0,1
2019 12 02 04 00,33,4,2,1,0,1
2019 12 02 05 00,33,4,2,1,0,1
2019 12 02 06 00,33,4,2,1,0,1
2019 12 02 07 00,33,4,1,1,0,1
2019 12 02 08 00,33,4,1,1,0,1
2019 12 02 09 00,33,4,1,1,0,1
2019 12 02 10 00,33,4,2,1,0,1
2019 12 02 11 00,33,4,1,1,0,1
2019 12 02 12 00,4,4,0,0,1,1
2019 12 02 13 00,4,4,0,0,1,1
2019 12 02 14 00,4,3,0,1,1,2
2019 12 02 15 00,40,3,0,0,0,0
2019 12 02 16 00,40,3,0,0,0,0
2019 12 02 17 00,4,3,0,1,1,2
2019 12 02 18 00,0,4,0,0,1,1
2019 12 02 19 00,0,4,0,0,1,1
2019 12 02 20 00,0,4,0,0,1,1
2019 12 02 21 00,0,2,0,0,1,1
2019 12 02 22 00,0,1,0,1,1,2
2019 12 02 23 00,0,1,0,1,1,2
2019 12 03 00 00,0,1,0,1,1,2
2019 12 03 01 00,0,1,0,1,1,2
2019 12 03 02 00,0,1,0,1,1,2
2019 12 03 03 00,0,1,0,1,1,2
2019 12 03 04 00,0,1,0,1,1,2
2019 12 03 05 00,0,1,0,1,1,2
2019 12 03 06 00,0,1,0,1,1,2
2019 12 03 07 00,0,1,0,1,1,2
2019 12 03 08 00,0,1,0,1,1,2
2019 12 03 09 00,0,1,0,1,1,2
2019 12 03 10 00,0,1,0,1,1,2
2019 12 03 11 00,0,1,0,1,1,2
2019 12 03 12 00,0,1,0,1,1,2
2019 12 03 13 00,0,1,0,1,1,2
2019 12 03 14 00,0,1,0,1,1,2
2019 12 03 15 00,0,1,0,1,1,2
2019 12 03 16 00,0,1,0,1,1,2
2019 12 03 17 00,0,1,0,1,1,2
2019 12 03 18 00,0,1,0,1,1,2
2019 12 03 19 00,0,1,0,1,1,2
2019 12 03 20 00,0,1,0,1,1,2
2019 12 03 21 00,0,1,0,1,1,2
2019 12 03 22 00,0,1,0,1,1,2
2019 12 03 23 00,0,1,0,1,1,2
2019 12 04 00 00,0,1,0,1,1,2
