,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 13 01 00,0,2,0,0,1,1
2019 11 13 02 00,0,2,0,0,1,1
2019 11 13 03 00,0,2,0,0,1,1
2019 11 13 04 00,0,1,0,1,1,2
2019 11 13 05 00,0,1,0,1,1,2
2019 11 13 06 00,0,1,0,1,1,2
2019 11 13 07 00,0,1,0,1,1,2
2019 11 13 08 00,0,2,0,0,1,1
2019 11 13 09 00,0,4,0,0,1,1
2019 11 13 10 00,0,2,0,0,1,1
2019 11 13 11 00,0,4,0,0,1,1
2019 11 13 12 00,0,2,0,0,1,1
2019 11 13 13 00,0,2,0,0,1,1
2019 11 13 14 00,4,4,0,0,1,1
2019 11 13 15 00,4,3,0,1,1,2
2019 11 13 16 00,4,3,0,1,1,2
2019 11 13 17 00,0,1,0,1,1,2
2019 11 13 18 00,0,1,0,1,1,2
2019 11 13 19 00,0,1,0,1,1,2
2019 11 13 20 00,0,1,0,1,1,2
2019 11 13 21 00,0,1,0,1,1,2
2019 11 13 22 00,0,1,0,1,1,2
2019 11 13 23 00,6,2,0,1,1,2
2019 11 14 00 00,4,3,0,1,1,2
2019 11 14 01 00,4,3,0,1,1,2
2019 11 14 02 00,4,3,0,1,1,2
2019 11 14 03 00,4,3,0,1,1,2
2019 11 14 04 00,4,3,0,1,1,2
2019 11 14 05 00,4,3,0,1,1,2
2019 11 14 06 00,4,3,0,1,1,2
2019 11 14 07 00,40,6,7,1,1,2
2019 11 14 08 00,40,6,7,1,1,2
2019 11 14 09 00,4,3,7,1,0,1
2019 11 14 10 00,4,3,0,1,1,2
2019 11 14 11 00,4,3,0,1,1,2
2019 11 14 12 00,4,3,0,1,1,2
2019 11 14 13 00,4,6,9,0,0,0
2019 11 14 14 00,52,6,9,0,0,0
2019 11 14 15 00,51,6,13,1,0,1
2019 11 14 16 00,51,6,9,1,1,2
2019 11 14 17 00,40,6,9,1,0,1
2019 11 14 18 00,40,6,9,1,0,1
2019 11 14 19 00,40,6,9,1,0,1
2019 11 14 20 00,40,6,7,1,1,2
2019 11 14 21 00,40,6,7,1,1,2
2019 11 14 22 00,40,6,7,1,1,2
2019 11 14 23 00,40,6,7,1,1,2
2019 11 15 00 00,51,6,9,1,1,2
