,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 28 01 00,4,4,0,0,1,1
2019 12 28 02 00,4,4,0,0,1,1
2019 12 28 03 00,32,4,0,1,0,1
2019 12 28 04 00,0,2,0,0,1,1
2019 12 28 05 00,0,2,0,0,1,1
2019 12 28 06 00,0,4,0,0,1,1
2019 12 28 07 00,0,4,0,0,1,1
2019 12 28 08 00,33,4,0,1,0,1
2019 12 28 09 00,33,4,1,1,0,1
2019 12 28 10 00,33,4,0,1,0,1
2019 12 28 11 00,33,4,0,1,0,1
2019 12 28 12 00,4,4,0,0,1,1
2019 12 28 13 00,0,4,0,0,1,1
2019 12 28 14 00,0,4,0,0,1,1
2019 12 28 15 00,4,4,0,0,1,1
2019 12 28 16 00,6,4,0,0,1,1
2019 12 28 17 00,4,4,0,0,1,1
2019 12 28 18 00,4,4,0,0,1,1
2019 12 28 19 00,4,4,0,0,1,1
2019 12 28 20 00,6,4,0,0,1,1
2019 12 28 21 00,4,3,0,1,1,2
2019 12 28 22 00,4,3,0,1,1,2
2019 12 28 23 00,4,3,0,1,1,2
2019 12 29 00 00,4,3,0,1,1,2
2019 12 29 01 00,4,4,0,0,1,1
2019 12 29 02 00,0,1,0,1,1,2
2019 12 29 03 00,0,1,0,1,1,2
2019 12 29 04 00,0,1,0,1,1,2
2019 12 29 05 00,0,1,0,1,1,2
2019 12 29 06 00,0,1,0,1,1,2
2019 12 29 07 00,6,2,0,1,1,2
2019 12 29 08 00,0,2,0,0,1,1
2019 12 29 09 00,0,1,0,1,1,2
2019 12 29 10 00,0,1,0,1,1,2
2019 12 29 11 00,0,1,0,1,1,2
2019 12 29 12 00,0,1,0,1,1,2
2019 12 29 13 00,0,1,0,1,1,2
2019 12 29 14 00,0,1,0,1,1,2
2019 12 29 15 00,0,1,0,1,1,2
2019 12 29 16 00,0,1,0,1,1,2
2019 12 29 17 00,6,2,0,1,1,2
2019 12 29 18 00,6,2,0,1,1,2
2019 12 29 19 00,6,2,0,1,1,2
2019 12 29 20 00,6,2,0,1,1,2
2019 12 29 21 00,6,2,0,1,1,2
2019 12 29 22 00,6,2,0,1,1,2
2019 12 29 23 00,6,2,0,1,1,2
2019 12 30 00 00,6,2,0,1,1,2
