,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 16 01 00,33,3,2,0,0,0
2019 11 16 02 00,33,3,2,0,0,0
2019 11 16 03 00,33,3,1,0,0,0
2019 11 16 04 00,33,3,7,0,0,0
2019 11 16 05 00,4,3,0,1,1,2
2019 11 16 06 00,4,3,0,1,1,2
2019 11 16 07 00,4,4,0,0,1,1
2019 11 16 08 00,33,4,0,1,0,1
2019 11 16 09 00,0,4,0,0,1,1
2019 11 16 10 00,0,1,0,1,1,2
2019 11 16 11 00,0,2,0,0,1,1
2019 11 16 12 00,0,1,0,1,1,2
2019 11 16 13 00,0,1,0,1,1,2
2019 11 16 14 00,0,1,0,1,1,2
2019 11 16 15 00,0,1,0,1,1,2
2019 11 16 16 00,0,1,0,1,1,2
2019 11 16 17 00,0,1,0,1,1,2
2019 11 16 18 00,0,1,0,1,1,2
2019 11 16 19 00,0,1,0,1,1,2
2019 11 16 20 00,0,1,0,1,1,2
2019 11 16 21 00,0,1,0,1,1,2
2019 11 16 22 00,0,1,0,1,1,2
2019 11 16 23 00,0,1,0,1,1,2
2019 11 17 00 00,4,2,0,0,1,1
2019 11 17 01 00,4,2,0,0,1,1
2019 11 17 02 00,0,2,0,0,1,1
2019 11 17 03 00,0,2,0,0,1,1
2019 11 17 04 00,0,2,0,0,1,1
2019 11 17 05 00,0,3,0,0,1,1
2019 11 17 06 00,0,3,0,0,1,1
2019 11 17 07 00,4,3,0,1,1,2
2019 11 17 08 00,0,3,0,0,1,1
2019 11 17 09 00,0,4,0,0,1,1
2019 11 17 10 00,4,4,0,0,1,1
2019 11 17 11 00,4,4,0,0,1,1
2019 11 17 12 00,4,4,0,0,1,1
2019 11 17 13 00,4,3,0,1,1,2
2019 11 17 14 00,4,3,0,1,1,2
2019 11 17 15 00,4,3,0,1,1,2
2019 11 17 16 00,4,3,0,1,1,2
2019 11 17 17 00,4,3,0,1,1,2
2019 11 17 18 00,4,3,0,1,1,2
2019 11 17 19 00,4,3,0,1,1,2
2019 11 17 20 00,4,3,0,1,1,2
2019 11 17 21 00,32,4,0,1,0,1
2019 11 17 22 00,32,4,0,1,0,1
2019 11 17 23 00,4,4,0,0,1,1
2019 11 18 00 00,40,4,0,0,0,0
