,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 20 01 00,6,2,0,1,1,2
2019 12 20 02 00,4,3,0,1,1,2
2019 12 20 03 00,4,3,0,1,1,2
2019 12 20 04 00,4,3,0,1,1,2
2019 12 20 05 00,4,3,0,1,1,2
2019 12 20 06 00,4,3,0,1,1,2
2019 12 20 07 00,4,3,7,1,0,1
2019 12 20 08 00,4,6,7,0,0,0
2019 12 20 09 00,4,6,7,0,0,0
2019 12 20 10 00,4,6,7,0,0,0
2019 12 20 11 00,40,6,9,1,0,1
2019 12 20 12 00,52,8,10,1,1,2
2019 12 20 13 00,52,8,10,1,1,2
2019 12 20 14 00,52,6,27,0,0,0
2019 12 20 15 00,4,3,0,1,1,2
2019 12 20 16 00,40,3,7,0,1,1
2019 12 20 17 00,0,2,0,0,1,1
2019 12 20 18 00,0,1,0,1,1,2
2019 12 20 19 00,0,1,0,1,1,2
2019 12 20 20 00,4,2,0,0,1,1
2019 12 20 21 00,4,3,0,1,1,2
2019 12 20 22 00,4,3,0,1,1,2
2019 12 20 23 00,4,3,0,1,1,2
2019 12 21 00 00,4,3,0,1,1,2
2019 12 21 01 00,4,3,0,1,1,2
2019 12 21 02 00,4,3,0,1,1,2
2019 12 21 03 00,4,3,0,1,1,2
2019 12 21 04 00,4,3,0,1,1,2
2019 12 21 05 00,4,3,0,1,1,2
2019 12 21 06 00,40,3,7,0,1,1
2019 12 21 07 00,0,2,0,0,1,1
2019 12 21 08 00,0,2,0,0,1,1
2019 12 21 09 00,0,1,0,1,1,2
2019 12 21 10 00,0,1,0,1,1,2
2019 12 21 11 00,0,2,0,0,1,1
2019 12 21 12 00,0,1,0,1,1,2
2019 12 21 13 00,6,2,0,1,1,2
2019 12 21 14 00,4,3,0,1,1,2
2019 12 21 15 00,4,3,0,1,1,2
2019 12 21 16 00,4,3,7,1,0,1
2019 12 21 17 00,40,6,9,1,0,1
2019 12 21 18 00,40,6,9,1,0,1
2019 12 21 19 00,4,3,0,1,1,2
2019 12 21 20 00,4,3,0,1,1,2
2019 12 21 21 00,4,3,0,1,1,2
2019 12 21 22 00,4,3,0,1,1,2
2019 12 21 23 00,4,3,0,1,1,2
2019 12 22 00 00,4,3,0,1,1,2
