,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 20 01 00,0,1,0,1,1,2
2020 01 20 02 00,0,1,0,1,1,2
2020 01 20 03 00,0,2,0,0,1,1
2020 01 20 04 00,0,2,0,0,1,1
2020 01 20 05 00,0,1,0,1,1,2
2020 01 20 06 00,0,1,0,1,1,2
2020 01 20 07 00,4,4,0,0,1,1
2020 01 20 08 00,4,3,0,1,1,2
2020 01 20 09 00,4,3,0,1,1,2
2020 01 20 10 00,4,4,0,0,1,1
2020 01 20 11 00,4,3,0,1,1,2
2020 01 20 12 00,4,3,0,1,1,2
2020 01 20 13 00,0,2,0,0,1,1
2020 01 20 14 00,0,1,0,1,1,2
2020 01 20 15 00,0,1,0,1,1,2
2020 01 20 16 00,0,1,0,1,1,2
2020 01 20 17 00,0,1,0,1,1,2
2020 01 20 18 00,0,1,0,1,1,2
2020 01 20 19 00,0,1,0,1,1,2
2020 01 20 20 00,0,1,0,1,1,2
2020 01 20 21 00,0,1,0,1,1,2
2020 01 20 22 00,0,2,0,0,1,1
2020 01 20 23 00,4,2,0,0,1,1
2020 01 21 00 00,0,1,0,1,1,2
2020 01 21 01 00,0,1,0,1,1,2
2020 01 21 02 00,0,1,0,1,1,2
2020 01 21 03 00,6,2,0,1,1,2
2020 01 21 04 00,6,2,0,1,1,2
2020 01 21 05 00,6,2,0,1,1,2
2020 01 21 06 00,6,2,0,1,1,2
2020 01 21 07 00,6,2,0,1,1,2
2020 01 21 08 00,0,2,0,0,1,1
2020 01 21 09 00,0,1,0,1,1,2
2020 01 21 10 00,0,1,0,1,1,2
2020 01 21 11 00,0,1,0,1,1,2
2020 01 21 12 00,0,1,0,1,1,2
2020 01 21 13 00,0,2,0,0,1,1
2020 01 21 14 00,0,2,0,0,1,1
2020 01 21 15 00,4,2,0,0,1,1
2020 01 21 16 00,4,2,0,0,1,1
2020 01 21 17 00,4,4,0,0,1,1
2020 01 21 18 00,4,2,0,0,1,1
2020 01 21 19 00,4,3,0,1,1,2
2020 01 21 20 00,4,3,0,1,1,2
2020 01 21 21 00,4,3,0,1,1,2
2020 01 21 22 00,4,3,0,1,1,2
2020 01 21 23 00,4,3,0,1,1,2
2020 01 22 00 00,4,3,0,1,1,2
