,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 27 01 00,33,4,1,1,0,1
2020 01 27 02 00,33,4,0,1,0,1
2020 01 27 03 00,6,4,0,0,1,1
2020 01 27 04 00,6,4,0,0,1,1
2020 01 27 05 00,6,4,0,0,1,1
2020 01 27 06 00,33,4,0,1,0,1
2020 01 27 07 00,4,4,0,0,1,1
2020 01 27 08 00,4,4,0,0,1,1
2020 01 27 09 00,6,4,0,0,1,1
2020 01 27 10 00,6,4,0,0,1,1
2020 01 27 11 00,4,3,0,1,1,2
2020 01 27 12 00,4,3,0,1,1,2
2020 01 27 13 00,4,3,0,1,1,2
2020 01 27 14 00,4,3,0,1,1,2
2020 01 27 15 00,4,3,0,1,1,2
2020 01 27 16 00,4,3,0,1,1,2
2020 01 27 17 00,4,3,0,1,1,2
2020 01 27 18 00,4,3,0,1,1,2
2020 01 27 19 00,4,3,7,1,0,1
2020 01 27 20 00,4,3,7,1,0,1
2020 01 27 21 00,4,3,0,1,1,2
2020 01 27 22 00,4,3,0,1,1,2
2020 01 27 23 00,40,3,7,0,1,1
2020 01 28 00 00,4,3,0,1,1,2
2020 01 28 01 00,40,6,7,1,1,2
2020 01 28 02 00,40,3,7,0,1,1
2020 01 28 03 00,4,3,0,1,1,2
2020 01 28 04 00,4,3,0,1,1,2
2020 01 28 05 00,4,3,0,1,1,2
2020 01 28 06 00,4,3,0,1,1,2
2020 01 28 07 00,4,3,0,1,1,2
2020 01 28 08 00,4,3,7,1,0,1
2020 01 28 09 00,4,3,0,1,1,2
2020 01 28 10 00,4,3,0,1,1,2
2020 01 28 11 00,4,3,7,1,0,1
2020 01 28 12 00,4,3,7,1,0,1
2020 01 28 13 00,40,6,7,1,1,2
2020 01 28 14 00,40,6,7,1,1,2
2020 01 28 15 00,40,6,9,1,0,1
2020 01 28 16 00,40,6,9,1,0,1
2020 01 28 17 00,40,6,7,1,1,2
2020 01 28 18 00,40,6,7,1,1,2
2020 01 28 19 00,4,3,7,1,0,1
2020 01 28 20 00,4,3,7,1,0,1
2020 01 28 21 00,40,6,7,1,1,2
2020 01 28 22 00,40,6,7,1,1,2
2020 01 28 23 00,40,6,7,1,1,2
2020 01 29 00 00,40,6,7,1,1,2
