,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 01 01 00,40,3,1,0,0,0
2019 11 01 02 00,33,4,2,1,0,1
2019 11 01 03 00,33,4,2,1,0,1
2019 11 01 04 00,33,4,2,1,0,1
2019 11 01 05 00,32,4,2,1,1,2
2019 11 01 06 00,32,4,2,1,1,2
2019 11 01 07 00,32,4,2,1,1,2
2019 11 01 08 00,6,4,1,0,0,0
2019 11 01 09 00,4,4,0,0,1,1
2019 11 01 10 00,4,3,0,1,1,2
2019 11 01 11 00,4,3,0,1,1,2
2019 11 01 12 00,4,3,0,1,1,2
2019 11 01 13 00,4,3,0,1,1,2
2019 11 01 14 00,4,3,0,1,1,2
2019 11 01 15 00,40,6,7,1,1,2
2019 11 01 16 00,40,6,7,1,1,2
2019 11 01 17 00,40,6,7,1,1,2
2019 11 01 18 00,40,6,7,1,1,2
2019 11 01 19 00,4,3,0,1,1,2
2019 11 01 20 00,4,3,7,1,0,1
2019 11 01 21 00,40,6,7,1,1,2
2019 11 01 22 00,40,6,7,1,1,2
2019 11 01 23 00,40,6,7,1,1,2
2019 11 02 00 00,40,6,7,1,1,2
2019 11 02 01 00,40,6,7,1,1,2
2019 11 02 02 00,40,6,7,1,1,2
2019 11 02 03 00,40,6,9,1,0,1
2019 11 02 04 00,52,6,9,0,0,0
2019 11 02 05 00,40,3,7,0,1,1
2019 11 02 06 00,40,6,7,1,1,2
2019 11 02 07 00,40,6,7,1,1,2
2019 11 02 08 00,40,6,7,1,1,2
2019 11 02 09 00,40,6,7,1,1,2
2019 11 02 10 00,4,3,0,1,1,2
2019 11 02 11 00,4,3,0,1,1,2
2019 11 02 12 00,4,4,0,0,1,1
2019 11 02 13 00,6,2,0,1,1,2
2019 11 02 14 00,6,2,0,1,1,2
2019 11 02 15 00,6,2,0,1,1,2
2019 11 02 16 00,6,2,0,1,1,2
2019 11 02 17 00,6,2,0,1,1,2
2019 11 02 18 00,4,3,0,1,1,2
2019 11 02 19 00,4,3,0,1,1,2
2019 11 02 20 00,4,3,0,1,1,2
2019 11 02 21 00,4,3,0,1,1,2
2019 11 02 22 00,4,3,0,1,1,2
2019 11 02 23 00,72,12,18,1,1,2
2019 11 03 00 00,40,6,13,1,0,1
