,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 12 01 00,0,2,0,0,1,1
2019 11 12 02 00,0,4,0,0,1,1
2019 11 12 03 00,0,2,0,0,1,1
2019 11 12 04 00,0,2,0,0,1,1
2019 11 12 05 00,0,2,0,0,1,1
2019 11 12 06 00,0,1,0,1,1,2
2019 11 12 07 00,0,1,0,1,1,2
2019 11 12 08 00,0,1,0,1,1,2
2019 11 12 09 00,0,1,0,1,1,2
2019 11 12 10 00,0,1,0,1,1,2
2019 11 12 11 00,0,1,0,1,1,2
2019 11 12 12 00,0,1,0,1,1,2
2019 11 12 13 00,0,1,0,1,1,2
2019 11 12 14 00,0,1,0,1,1,2
2019 11 12 15 00,0,1,0,1,1,2
2019 11 12 16 00,0,1,0,1,1,2
2019 11 12 17 00,0,1,0,1,1,2
2019 11 12 18 00,0,1,0,1,1,2
2019 11 12 19 00,0,1,0,1,1,2
2019 11 12 20 00,0,1,0,1,1,2
2019 11 12 21 00,0,1,0,1,1,2
2019 11 12 22 00,0,1,0,1,1,2
2019 11 12 23 00,0,2,0,0,1,1
2019 11 13 00 00,4,4,0,0,1,1
2019 11 13 01 00,4,3,0,1,1,2
2019 11 13 02 00,4,3,0,1,1,2
2019 11 13 03 00,4,3,0,1,1,2
2019 11 13 04 00,0,4,0,0,1,1
2019 11 13 05 00,0,4,0,0,1,1
2019 11 13 06 00,0,2,0,0,1,1
2019 11 13 07 00,0,2,0,0,1,1
2019 11 13 08 00,0,1,0,1,1,2
2019 11 13 09 00,0,1,0,1,1,2
2019 11 13 10 00,0,1,0,1,1,2
2019 11 13 11 00,0,1,0,1,1,2
2019 11 13 12 00,0,1,0,1,1,2
2019 11 13 13 00,0,1,0,1,1,2
2019 11 13 14 00,0,1,0,1,1,2
2019 11 13 15 00,0,1,0,1,1,2
2019 11 13 16 00,0,1,0,1,1,2
2019 11 13 17 00,0,1,0,1,1,2
2019 11 13 18 00,0,1,0,1,1,2
2019 11 13 19 00,0,1,0,1,1,2
2019 11 13 20 00,0,1,0,1,1,2
2019 11 13 21 00,0,1,0,1,1,2
2019 11 13 22 00,4,4,0,0,1,1
2019 11 13 23 00,4,4,0,0,1,1
2019 11 14 00 00,4,3,0,1,1,2
