,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 20 01 00,4,4,0,0,1,1
2019 11 20 02 00,0,2,0,0,1,1
2019 11 20 03 00,0,2,0,0,1,1
2019 11 20 04 00,0,1,0,1,1,2
2019 11 20 05 00,0,1,0,1,1,2
2019 11 20 06 00,0,1,0,1,1,2
2019 11 20 07 00,0,1,0,1,1,2
2019 11 20 08 00,0,1,0,1,1,2
2019 11 20 09 00,0,1,0,1,1,2
2019 11 20 10 00,0,1,0,1,1,2
2019 11 20 11 00,0,1,0,1,1,2
2019 11 20 12 00,0,1,0,1,1,2
2019 11 20 13 00,0,1,0,1,1,2
2019 11 20 14 00,0,2,0,0,1,1
2019 11 20 15 00,4,4,0,0,1,1
2019 11 20 16 00,4,3,0,1,1,2
2019 11 20 17 00,4,3,0,1,1,2
2019 11 20 18 00,4,3,0,1,1,2
2019 11 20 19 00,4,3,0,1,1,2
2019 11 20 20 00,4,3,0,1,1,2
2019 11 20 21 00,4,3,0,1,1,2
2019 11 20 22 00,4,3,0,1,1,2
2019 11 20 23 00,4,3,0,1,1,2
2019 11 21 00 00,4,4,0,0,1,1
2019 11 21 01 00,4,4,0,0,1,1
2019 11 21 02 00,4,4,0,0,1,1
2019 11 21 03 00,4,4,0,0,1,1
2019 11 21 04 00,6,4,0,0,1,1
2019 11 21 05 00,6,2,0,1,1,2
2019 11 21 06 00,6,2,0,1,1,2
2019 11 21 07 00,6,2,0,1,1,2
2019 11 21 08 00,6,2,0,1,1,2
2019 11 21 09 00,6,2,0,1,1,2
2019 11 21 10 00,0,2,0,0,1,1
2019 11 21 11 00,0,1,0,1,1,2
2019 11 21 12 00,0,2,0,0,1,1
2019 11 21 13 00,3,2,0,0,1,1
2019 11 21 14 00,4,2,0,0,1,1
2019 11 21 15 00,4,3,0,1,1,2
2019 11 21 16 00,4,3,0,1,1,2
2019 11 21 17 00,4,3,0,1,1,2
2019 11 21 18 00,4,3,0,1,1,2
2019 11 21 19 00,40,6,7,1,1,2
2019 11 21 20 00,40,6,7,1,1,2
2019 11 21 21 00,40,6,7,1,1,2
2019 11 21 22 00,40,6,7,1,1,2
2019 11 21 23 00,4,3,0,1,1,2
2019 11 22 00 00,4,3,0,1,1,2
