,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 12 01 00,0,2,0,0,1,1
2020 01 12 02 00,0,2,0,0,1,1
2020 01 12 03 00,0,1,0,1,1,2
2020 01 12 04 00,0,1,0,1,1,2
2020 01 12 05 00,0,1,0,1,1,2
2020 01 12 06 00,0,1,0,1,1,2
2020 01 12 07 00,0,1,0,1,1,2
2020 01 12 08 00,0,1,0,1,1,2
2020 01 12 09 00,0,1,0,1,1,2
2020 01 12 10 00,6,2,0,1,1,2
2020 01 12 11 00,6,2,0,1,1,2
2020 01 12 12 00,6,2,0,1,1,2
2020 01 12 13 00,6,2,0,1,1,2
2020 01 12 14 00,6,2,0,1,1,2
2020 01 12 15 00,6,2,0,1,1,2
2020 01 12 16 00,6,2,0,1,1,2
2020 01 12 17 00,6,2,0,1,1,2
2020 01 12 18 00,6,2,0,1,1,2
2020 01 12 19 00,6,2,0,1,1,2
2020 01 12 20 00,6,2,0,1,1,2
2020 01 12 21 00,6,2,0,1,1,2
2020 01 12 22 00,6,2,0,1,1,2
2020 01 12 23 00,6,2,0,1,1,2
2020 01 13 00 00,6,2,0,1,1,2
2020 01 13 01 00,6,2,0,1,1,2
2020 01 13 02 00,6,2,0,1,1,2
2020 01 13 03 00,6,2,0,1,1,2
2020 01 13 04 00,6,2,0,1,1,2
2020 01 13 05 00,6,2,0,1,1,2
2020 01 13 06 00,6,2,0,1,1,2
2020 01 13 07 00,6,2,0,1,1,2
2020 01 13 08 00,6,2,0,1,1,2
2020 01 13 09 00,6,2,0,1,1,2
2020 01 13 10 00,6,2,0,1,1,2
2020 01 13 11 00,6,2,0,1,1,2
2020 01 13 12 00,6,2,0,1,1,2
2020 01 13 13 00,6,2,0,1,1,2
2020 01 13 14 00,6,2,0,1,1,2
2020 01 13 15 00,6,2,0,1,1,2
2020 01 13 16 00,6,2,0,1,1,2
2020 01 13 17 00,6,2,0,1,1,2
2020 01 13 18 00,6,2,0,1,1,2
2020 01 13 19 00,6,2,0,1,1,2
2020 01 13 20 00,6,2,0,1,1,2
2020 01 13 21 00,6,2,0,1,1,2
2020 01 13 22 00,6,2,0,1,1,2
2020 01 13 23 00,6,2,0,1,1,2
2020 01 14 00 00,6,2,0,1,1,2
