,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 06 01 00,0,1,0,1,1,2
2020 01 06 02 00,0,1,0,1,1,2
2020 01 06 03 00,0,1,0,1,1,2
2020 01 06 04 00,0,1,0,1,1,2
2020 01 06 05 00,0,1,0,1,1,2
2020 01 06 06 00,0,1,0,1,1,2
2020 01 06 07 00,0,1,0,1,1,2
2020 01 06 08 00,0,1,0,1,1,2
2020 01 06 09 00,0,1,0,1,1,2
2020 01 06 10 00,0,1,0,1,1,2
2020 01 06 11 00,0,1,0,1,1,2
2020 01 06 12 00,0,1,0,1,1,2
2020 01 06 13 00,0,1,0,1,1,2
2020 01 06 14 00,0,1,0,1,1,2
2020 01 06 15 00,0,1,0,1,1,2
2020 01 06 16 00,0,1,0,1,1,2
2020 01 06 17 00,0,1,0,1,1,2
2020 01 06 18 00,0,1,0,1,1,2
2020 01 06 19 00,0,1,0,1,1,2
2020 01 06 20 00,0,1,0,1,1,2
2020 01 06 21 00,0,1,0,1,1,2
2020 01 06 22 00,0,1,0,1,1,2
2020 01 06 23 00,0,1,0,1,1,2
2020 01 07 00 00,0,1,0,1,1,2
2020 01 07 01 00,0,1,0,1,1,2
2020 01 07 02 00,0,1,0,1,1,2
2020 01 07 03 00,0,1,0,1,1,2
2020 01 07 04 00,0,1,0,1,1,2
2020 01 07 05 00,0,1,0,1,1,2
2020 01 07 06 00,0,1,0,1,1,2
2020 01 07 07 00,0,1,0,1,1,2
2020 01 07 08 00,0,2,0,0,1,1
2020 01 07 09 00,4,4,0,0,1,1
2020 01 07 10 00,4,3,0,1,1,2
2020 01 07 11 00,4,4,0,0,1,1
2020 01 07 12 00,0,4,0,0,1,1
2020 01 07 13 00,0,2,0,0,1,1
2020 01 07 14 00,0,2,0,0,1,1
2020 01 07 15 00,0,2,0,0,1,1
2020 01 07 16 00,0,2,0,0,1,1
2020 01 07 17 00,0,2,0,0,1,1
2020 01 07 18 00,0,4,0,0,1,1
2020 01 07 19 00,0,4,0,0,1,1
2020 01 07 20 00,0,4,1,0,0,0
2020 01 07 21 00,0,4,0,0,1,1
2020 01 07 22 00,0,4,0,0,1,1
2020 01 07 23 00,0,4,0,0,1,1
2020 01 08 00 00,0,4,0,0,1,1
