,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 11 01 00,32,4,1,1,0,1
2019 11 11 02 00,0,4,1,0,0,0
2019 11 11 03 00,0,4,1,0,0,0
2019 11 11 04 00,0,4,1,0,0,0
2019 11 11 05 00,0,4,0,0,1,1
2019 11 11 06 00,0,4,0,0,1,1
2019 11 11 07 00,33,4,0,1,0,1
2019 11 11 08 00,6,4,0,0,1,1
2019 11 11 09 00,6,4,0,0,1,1
2019 11 11 10 00,6,4,0,0,1,1
2019 11 11 11 00,4,3,0,1,1,2
2019 11 11 12 00,4,3,0,1,1,2
2019 11 11 13 00,4,3,0,1,1,2
2019 11 11 14 00,4,3,0,1,1,2
2019 11 11 15 00,4,3,0,1,1,2
2019 11 11 16 00,4,3,0,1,1,2
2019 11 11 17 00,4,3,0,1,1,2
2019 11 11 18 00,4,3,0,1,1,2
2019 11 11 19 00,4,4,0,0,1,1
2019 11 11 20 00,0,2,0,0,1,1
2019 11 11 21 00,40,3,0,0,0,0
2019 11 11 22 00,40,3,0,0,0,0
2019 11 11 23 00,4,3,0,1,1,2
2019 11 12 00 00,4,3,0,1,1,2
2019 11 12 01 00,4,3,0,1,1,2
2019 11 12 02 00,0,4,0,0,1,1
2019 11 12 03 00,0,4,0,0,1,1
2019 11 12 04 00,0,2,0,0,1,1
2019 11 12 05 00,0,1,0,1,1,2
2019 11 12 06 00,0,1,0,1,1,2
2019 11 12 07 00,0,1,0,1,1,2
2019 11 12 08 00,0,1,0,1,1,2
2019 11 12 09 00,0,1,0,1,1,2
2019 11 12 10 00,0,1,0,1,1,2
2019 11 12 11 00,0,1,0,1,1,2
2019 11 12 12 00,0,1,0,1,1,2
2019 11 12 13 00,0,1,0,1,1,2
2019 11 12 14 00,0,1,0,1,1,2
2019 11 12 15 00,0,1,0,1,1,2
2019 11 12 16 00,0,1,0,1,1,2
2019 11 12 17 00,0,1,0,1,1,2
2019 11 12 18 00,0,1,0,1,1,2
2019 11 12 19 00,0,1,0,1,1,2
2019 11 12 20 00,0,4,0,0,1,1
2019 11 12 21 00,0,4,0,0,1,1
2019 11 12 22 00,4,3,0,1,1,2
2019 11 12 23 00,40,3,0,0,0,0
2019 11 13 00 00,40,3,7,0,1,1
