,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 24 01 00,4,4,0,0,1,1
2020 01 24 02 00,4,3,0,1,1,2
2020 01 24 03 00,4,3,0,1,1,2
2020 01 24 04 00,4,3,0,1,1,2
2020 01 24 05 00,4,3,0,1,1,2
2020 01 24 06 00,4,3,0,1,1,2
2020 01 24 07 00,4,3,0,1,1,2
2020 01 24 08 00,4,3,0,1,1,2
2020 01 24 09 00,4,3,0,1,1,2
2020 01 24 10 00,4,3,0,1,1,2
2020 01 24 11 00,4,3,0,1,1,2
2020 01 24 12 00,4,3,0,1,1,2
2020 01 24 13 00,4,3,0,1,1,2
2020 01 24 14 00,4,3,0,1,1,2
2020 01 24 15 00,4,3,0,1,1,2
2020 01 24 16 00,4,3,0,1,1,2
2020 01 24 17 00,4,3,0,1,1,2
2020 01 24 18 00,4,3,0,1,1,2
2020 01 24 19 00,4,3,0,1,1,2
2020 01 24 20 00,4,3,0,1,1,2
2020 01 24 21 00,1,2,0,0,1,1
2020 01 24 22 00,2,2,0,1,1,2
2020 01 24 23 00,1,2,0,0,1,1
2020 01 25 00 00,6,2,0,1,1,2
2020 01 25 01 00,4,2,0,0,1,1
2020 01 25 02 00,4,3,0,1,1,2
2020 01 25 03 00,4,3,0,1,1,2
2020 01 25 04 00,4,2,0,0,1,1
2020 01 25 05 00,0,2,0,0,1,1
2020 01 25 06 00,0,1,0,1,1,2
2020 01 25 07 00,0,1,0,1,1,2
2020 01 25 08 00,0,1,0,1,1,2
2020 01 25 09 00,0,1,0,1,1,2
2020 01 25 10 00,0,1,0,1,1,2
2020 01 25 11 00,0,1,0,1,1,2
2020 01 25 12 00,0,1,0,1,1,2
2020 01 25 13 00,6,2,0,1,1,2
2020 01 25 14 00,6,2,0,1,1,2
2020 01 25 15 00,6,2,0,1,1,2
2020 01 25 16 00,6,2,0,1,1,2
2020 01 25 17 00,6,2,0,1,1,2
2020 01 25 18 00,6,2,0,1,1,2
2020 01 25 19 00,6,2,0,1,1,2
2020 01 25 20 00,6,2,0,1,1,2
2020 01 25 21 00,6,2,0,1,1,2
2020 01 25 22 00,6,4,0,0,1,1
2020 01 25 23 00,4,4,0,0,1,1
2020 01 26 00 00,4,3,0,1,1,2
